本报记者 家庭
委员 中
基层 委员
家庭 正在
增加 农民收入
增加 推动
农民收入 推动
推动 改革
改革 建议
要素 去年
市场 信息
政府 加大
政府 投入
加大 投入
加大 加强
投入 加强
村里 集体
万元 增加
增加 万元
政府 报告
报告 时
报告 三农问题
时 三农问题
特别 政府
政府 报告
报告 提出
提出 采取
措施 努力
措施 维护
努力 维护
维护 利益
中央 地方
比较 关注
比较 三农问题
关注 三农问题
措施 代表
代表 认为
生活 保障
保障 体系
体系 正在
正在 完善
缺乏 保障
地区 设施
解决 措施
措施 代表
代表 指出
增加 农民收入
农民收入 帮助
帮助 解决
生活 条件
保护 生态
围绕 增收
围绕 调整
增收 调整
增收 种植
调整 种植
调整 结构
种植 结构
增产 增收
增收 突破
突破 基地
基地 加工
加工 销售
销售 基础设施
基础设施 综合
综合 改革
改革 方面
方面 突破
取得 明显
加快 经济
经济 中
中 贷款
贷款 难
难 成为
成为 突出
金融 改革
金融 中
改革 中
改革 银行
中 银行
造成 困难
困难 群众
群众 关注
中央 部门
研究 解决
稳定 地方
地区 经济
经济 结构
增收 困难
难题 去年
去年 改革
下降 左右
下降 全市
左右 全市
粮食 任务
任务 得到
今年 改革
改革 试点
本报 北京
全国 推进
部门 地方
地方 政府
村 开展
试点 村
帮助 积极
积极 实施
增加 现在
综合 特别
增加 农民收入
增加 调整
农民收入 调整
方面 发挥
中国 改革
部门 全国
全国 各地
各地 代表
会议 代表
代表 围绕
增加 农民收入
增加 调整
农民收入 调整
进行 深入
代表 专家
专家 认为
工程 实践
建议 农业部
全国 结合
结合 成立
领导 规划
规划 实施
实施 组织
组织 教育
教育 部门
活动 制定
政策 增加
投入 切实
投入 推进
切实 推进
人口 近年来
思想 学习
思想 教育
学习 教育
学习 活动
教育 活动
解决 难题
去年 实现
亿元 人均
社会 稳定
结构 进行
增收 全市
全市 经济
增收 条件
调整 围绕
围绕 市场
市场 结构
结构 特色
特色 结构
结构 科技
科技 结构
围绕 市场
市场 结构
结构 去年
实行 粮食
引导 围绕
围绕 加快
产业 发生
抓 工业
