时 想
不少 钱
钱 一年
万亩 一年
万元 全省
全国 实现
全国 完成
改造 实现
实现 生活
经济 进一步
改造 资金
改造 工程
工程 抓
全国 完成
改造 任务
任务 投资
投资 亿元
条件 质量
全省 生活
全省 生活
生活 统一
改造 基础
任务 过去
保证 各地
加工 使用
使用 动力
动力 需要
现在 农户
家庭 加工
家庭 成为
加工 成为
成为 经济
去年 村里
改造 完成
龙头企业 保证
加工 企业
加工 企业
企业 提供
生活 质量
下降 村民
村民 积极性
村民 做
去年 村里
村里 增加
增长 超过
改造 增长
改造 增长
增长 乡镇
增长 工业
乡镇 工业
改造 增长
增长 工程
提高 水平
水平 实施
全省 统一
工程 全省
改造 群众
没有 群众
实施 工程
发放 万元
实施 经济
工程 实施
实施 增强
各地 积极
积极 措施
措施 成立
教育 培训
教育 提高
培训 提高
减少 环节
方式 利益
利益 去年
人员 没有
里 产品
企业 必须
社会 这种
加快 企业
精神 动力
改革 有效
万元 转移
转移 资金
资金 用于
资金 解决
用于 解决
解决 改革
保证 农村基层
保证 组织
农村基层 组织
投入 保证
标准 加强
加强 村级
村级 管理
万元 万元
万元 没有
改革 人均
达到 加大
达到 教育
加大 教育
加大 投资
教育 投资
规范 资金
规范 使用
资金 使用
资金 效益
使用 效益
效益 提高
提高 促进
组织 措施
措施 落实
落实 农户
农户 改革
农户 中
农户 进行
结合 转变
结合 干部
转变 干部
增收 开展
开展 领导
领导 干部
干部 进行
活动 要求
要求 干部
帮助 解决
解决 实际
制度 管理
管理 办法
领导 干部
干部 帮助
干部 贫困户
帮助 贫困户
帮助 脱贫
贫困户 脱贫
地区 各级
地区 领导
各级 领导
各级 干部
领导 干部
干部 调查
调查 研究
乡 指导
指导 乡
乡 做
做 做
达到 人均
达到 万元
人均 万元
万元 帮助
贫困户 实现
实现 脱贫
脱贫 去年
去年 地区
这种 需求
群众 需求
基层 群众
今年 采取
采取 措施
措施 推动
消费 不足
消费 全国
不足 全国
品种 提高
市场 需求
需求 认为
基层 更
文化 产品
文化 国家
产品 国家
改革 建立
建立 完善
完善 覆盖
网络 政府
网络 鼓励
政府 鼓励
政府 建立
鼓励 建立
建立 形式
渠道 改变
基层 群众
进一步 增加
进一步 投入
增加 投入
增加 支持
投入 支持
支持 地区
地区 贫困地区
网络 去年
去年 国家
去年 投入
国家 投入
抓 抓
继续 整治
切实 基层
市场 环境
贫困地区 国家
国家 各地
各地 政府
政府 继续
继续 加大
继续 投入
加大 投入
加大 增加
投入 增加
增加 阶段
补贴 解决
投入 亿元
长期 坚持
种植 优质
收入 过去
现在 达到
达到 增收
增加 收入
产业化 龙头企业
龙头企业 企业
企业 科技
企业 基地
科技 基地
科技 农户
基地 农户
农户 产业化
产业化 基础
基础 农户
农户 建立
企业 科技
企业 基地
科技 基地
科技 农户
基地 农户
农户 产业
产业 模式
产业 企业
模式 企业
产业化 核心
市场 进行
进行 调查
调查 开发
协调 建立
建立 种植
基地 企业
企业 基地
基地 农户
要求 进行
进行 企业
价格 收购
保障 农户
保障 基本
农户 基本
农户 收益
基本 收益
形成 合作
形成 关系
合作 关系
关系 帮助
帮助 农户
帮助 提高
农户 提高
公司 成立
成立 技术
中心 基地
基地 农户
农户 技术
技术 指导
想 调整
想 品种
调整 品种
技术 现在
专家 技术
技术 种
质量 产量
保证 效益
具有 工业
公司 龙头企业
龙头企业 实行
要求 粮食
要求 种植
粮食 种植
种植 必须
标准 进行
加工 标准
加工 销售
造成 粮食
粮食 下降
村里 种粮
里 更
污染 粮食
农药 成为
农药 主要
成为 主要
方式 利用
利用 进行
进行 水稻
方式 正在
正在 推广
推广 龙头企业
带动 基地
带动 农户
基地 农户
农户 增收
公司 取得
基地 公司
基础 公司
加工 建成
规模 最大
产业化 更
产业 利用
养殖 加工
产业化 龙头企业
项目 实施
实施 工程
项目 实施
实施 工程
达到 近年来
项目 资金
项目 万元
资金 万元
资金 实施
万元 实施
优质 小麦
小麦 示范
小麦 项目
示范 项目
项目 县
地区 乡镇
乡镇 建成
推广 技术
技术 重点
重点 内容
重点 建立
内容 建立
内容 实施
建立 实施
建立 技术
实施 技术
实施 措施
技术 措施
技术 研究
研究 提供
工程 中
中 利用
利用 配套
配套 建立
致富 政府
政府 提供
工程 促进
促进 经济
完成 万亩
记者 我国
我国 今年
今年 进一步
进一步 加大
支持 力度
力度 用于
方面 投入
投入 增加
增加 亿元
亿元 增长
亿元 地方
增长 地方
增长 财政
地方 财政
增加 投入
今年 我国
我国 深化
深化 改革
改革 成果
成果 中央
中央 要求
中央 今年
要求 今年
今年 全面
积极 推进
积极 粮食
推进 粮食
推进 流通
粮食 流通
粮食 体制
流通 体制
体制 改革
流通 环节
直接 补贴
直接 今年
补贴 今年
粮食 补贴
粮食 方式
补贴 方式
补贴 改革
方式 改革
改革 资金
粮食 粮食
粮食 风险
教育 文化
确保 主要
确保 用于
主要 用于
用于 支持
攻坚 继续
攻坚 实施
继续 实施
提供 政策
政策 进一步
进一步 增加
粮食 综合
粮食 能力
综合 能力
扶贫 方面
促进 农民工
人员 收入
劳动力 转移
劳动力 就业
转移 就业
出台 相关
相关 政策
养殖 大户
研究 探索
效益 传统
现代化 设施
设施 成为
致富 增收
增收 主要
主要 去年
现代农业 设施
比较 缺乏
缺乏 基础
基础 过去
结构 品种
结构 结构
品种 结构
增收 近年来
近年来 政策
政策 引导
引导 带动
带动 鼓励
企业 农户
农户 现代化
投资 完善
公司 投资
土地 投入
土地 万元
投入 万元
增收 万元
亩 规模
不少 村民
不少 利用
村民 利用
利用 时间
时间 学习
致富 增收
看到 群众
比较 困难
比较 想
困难 想
建成 全国
国家 粮食
中 安排
安排 支持
实施 优质
实施 粮食
优质 粮食
优质 产业化
粮食 产业化
粮食 工程
产业化 工程
产业化 扶持
工程 扶持
工程 种粮
扶持 种粮
扶持 大户
种粮 大户
大户 家庭
家庭 农场
综合 开发
综合 资金
开发 资金
资金 用于
用于 粮食
粮食 基础设施
基础设施 改造
部门 规划
开发 万亩
万亩 优质
粮食 县
提供 小麦
改革 不同
改革 时期
不同 时期
不同 面临
时期 面临
中央 制定
制定 出台
一号 文件
一号 文件
改革 进行
时期 改革
中央 一号
中央 文件
一号 文件
一号 文件
文件 中国
中国 改革
改革 成为
一号 文件
一号 文件
一号 突破
文件 突破
突破 传统
基础 体制
社会主义 经济
中央 一号
中央 文件
一号 文件
一号 当前
文件 当前
当前 经济
经济 政策
文件 理论
理论 我国
我国 实践
我国 中
实践 中
一号 文件
一号 文件
文件 文件
文件 强调
文件 强调
强调 继续
继续 稳定
稳定 完善
鼓励 增加
增加 土地
土地 投资
投资 土地
一号 文件
一号 文件
文件 文件
文件 中心
中心 内容
内容 调整
产品 采取
政策 国家
一号 文件
一号 文件
文件 文件
必须 继续
文件 强调
文件 进一步
强调 进一步
近年来 全国
全国 人均
人均 连续
连续 增长
收入 差距
一号 文件
信用社 贷款
信用社 万元
贷款 万元
信用社 贷款
贷款 支持
积极 推广
加大 支农
加大 力度
支农 力度
累计 发放
亿元 支持
资金 合作社
强调 支农
农户 搞
搞 种植
种植 搞
搞 养殖
比较 规模
适应 农户
适应 需要
农户 需要
推广 农户
增收 致富
增收 提供
致富 提供
致富 资金
提供 资金
提供 支持
资金 支持
信用社 推广
鼓励 搞
搞 种植
信用社 发放
支持 种植
成为 特色
特色 种植
乡 信用社
信用社 调研
调研 时
养殖 条件
养殖 信用社
条件 信用社
信用社 做
做 鼓励
万元 人员
集中 统一
统一 集中
集中 销售
建立 养殖
养殖 公司
养殖 基地
万元 贷款
贷款 支持
信用社 支持
种植 养殖
养殖 加工
加工 产业
产业 想
积极 农户
劳动力 就业
支农 任务
领导 干部
乡 信用社
支农 任务
支农 落实
任务 落实
农户 资金
资金 需求
农户 发放
农户 贷款
实施 工程
实行 管理
管理 出现
关系 全市
全市 信用社
信用社 累计
信用社 发放
累计 发放
信用社 支持
信用社 起来
支持 起来
信用社 贷款
更 信用社
支持 增收
增收 信用社
信用社 支持
信用社 金融
金融 企业
万元 支持
蔬菜 养殖
养殖 增加
增加 收入
收入 信用社
信用社 连续
增加 万元
贷款 推广
推广 增强
增强 信用社
信用社 资金
农户 信用社
业务 调整
调整 信贷
调整 结构
信贷 结构
经营 成本
成本 提高
去年 达
达 成为
蔬菜 加工
蔬菜 销售
加工 销售
科学 调研
调研 基础
抓 三农问题
部门 基层
基层 保证
村民 致富
群众 帮助
帮助 村里
推进 改革
改革 重点
重点 进行
进行 机构
机构 改革
改革 财政
财政 人员
人员 调整
调整 优化
优化 结构
制度 规范
制度 涉农
规范 涉农
涉农 价格
要求 涉农
涉农 部门
部门 乡镇
建立 科技
建立 示范
科技 示范
科技 基地
示范 基地
示范 做
基地 做
品种 带动
万亩 提高
提高 质量
质量 投资
质量 中心
中心 专业
专业 市场
市场 龙头企业
龙头企业 建立
建立 形成
形成 覆盖
网络 市场
产品 增加
结合 实际
实际 进行
进行 理论
进行 创新
理论 创新
家庭 承包
理论 突破
进入 阶段
城乡 结构
历史 实践
实践 基础
理论 创新
创新 社会
实践 理论
理论 创新
全面 小康社会
解决 三农问题
理论 创新
理论 实践
创新 实践
实践 理论
经济 要求
要求 理论
经济 进入
进入 阶段
阶段 实践
实践 中
要求 理论
建立 完善
完善 社会主义
完善 市场
社会主义 市场
增强 改革
水平 建立
建立 国家
支持 保护
支持 体系
保护 体系
保护 适应
体系 适应
体系 工业化
适应 工业化
适应 进程
工业化 进程
工业化 加快
进程 加快
改造 传统
传统 转变
转变 增长
转变 方式
增长 方式
增长 提高
方式 提高
全面 小康社会
经济 增加
经济 农民收入
增加 农民收入
农民收入 现代农业
理论 创新
理论 指导
指导 改革
促进 经济
解决 矛盾
矛盾 要求
要求 理论
经济 结构
结构 调整
阶段 经济
面临 困难
困难 矛盾
下降 权益
社会 事业
矛盾 解决
解决 起来
矛盾 必须
必须 坚持
必须 理论
坚持 理论
理论 实践
办法 理论
突破 创新
创新 认识
经济 要求
要求 理论
经济 理论
指导 改革
作用 理论
原因 理论
理论 创新
实践 关注
不能 传统
传统 理论
突破 推进
推进 理论
推进 创新
理论 创新
创新 形成
形成 中国
形成 特色
中国 特色
特色 经济
经济 理论
理论 构建
经济 体系
体系 创新
创新 重点
全面 小康社会
理论 创新
理论 创新
创新 围绕
经济 重大
正在 做
当前 应
理论 创新
理论 创新
理论 必须
创新 必须
主要 任务
任务 增加
增加 农民收入
增收 困难
环境 发生
发生 变化
变化 突出
城乡 结构
结构 长期
矛盾 集中
集中 解决
解决 增收
理论 发挥
理论 比较
发挥 比较
发挥 优势
比较 优势
实施 优势
优势 区域
区域 形成
特色 实现
阶段 理论
理论 工业化
工业化 阶段
阶段 结合
阶段 起来
结合 起来
起来 改变
改变 城乡
结构 工业
结构 支持
工业 支持
支持 城市
城市 带动
系统 理论
理论 实现
经济 持续
持续 协调
协调 健康
健康 改革
改革 理论
理论 创新
创新 改革
我国 社会主义
我国 市场
社会主义 市场
完善 深化
深化 改革
改革 任务
要求 进一步
努力 建成
努力 完善
建成 完善
完善 社会主义
社会主义 市场
市场 实现
实现 目标
目标 需要
需要 理论
深化 改革
改革 提供
改革 支撑
提供 支撑
实际 维护
经济 权益
权益 制度
农村土地 制度
长期 稳定
稳定 承包
承包 经营权
经营权 不少
不少 地方
理论 积极
深化 农村土地
深化 制度
