,author,date,para,title_first,title_second
558,,1984-02-27,农业的行政管理部门、科研单位和院校这“三农”，分别担负着农业生产指挥和科技成果推广、科研以及教学的任务，是促进农业发展的三股重要力量。如何把这三股力量拧在一起，朝着一个方向使劲，推动农业生产更快地前进，是一个亟待研究解决的问题。　　一些地方的“三农”，在目前体制分立的情况下，由于缺乏联系和配合，生产、科研、教育互相脱节，形成了所谓“三农鼎立”的局面，使得本来就单薄的农业科技力量分散、抵消，造成浪费。不少地方出现了这样的情况：一方面，广大农民和生产部门渴望用科学武装生产，另一方面，却有一大批科研成果不能及时推广；一方面，农业生产提出的许多新课题不能解决，另一方面，科研、教育部门正在进行的科研项目又有重复，或者不适合生产需要；一方面，农村技术干部奇缺，现有技术队伍的知识结构也需要更新，另一方面，农业院校还有相当的教学潜力没有充分挖掘出来。出现这些情况的原因之一，就是“三农”缺乏协作。四川省的经验说明，“三农”一旦携起手来，就会形成强大的力量，促进农业科技的发展。　　“三农”担负的具体任务各不相同，但服务于发展农村商品生产和农业现代化的总目标是一致的。在这个目标下，三者应当建立起相互依存、互为补充和互相促进的关系。推广部门要依靠科研和教育部门出成果，出人才，并提高推广的水平；科研、教育部门要面向生产，与推广部门紧密结合，才能及时从生产中获得信息，汲取经验，丰富充实自己，提高科研与教学的质量，源源不断地为生产部门提供成果和人才。　　加强“三农”协作，使教育、科研、推广紧密结合，需要以改革的精神，多方探索加强协作的路子，积极主动地打破不利于三方配合的壁垒。农业行政管理部门尤其要积极主动，多出主意，多想办法，从各方面促进“三农”协作。县以上的地方领导机关，也要把促成“三农”协作，当作振兴农业经济与科学技术的一件重要事情，切切实实地抓起来。,提倡“三农”协作（本报评论）,
557,卢小飞,1984-02-27,本报讯　记者卢小飞报道：四川省农业行政管理部门、农业科研单位和农业院校（简称“三农”），改变原来联系不够密切的状况，积极开展多渠道协作，加强科研、教育、推广三结合，更好地发挥了为农民提供技术服务的作用。　　该省这三个部门过去曾有过各自为政、互不通气、力量不集中的情况，１９８０年以前，全省因技术推广力量不足，有１００多项现成的科研成果推广不下去，而农业院校有较充足的师资队伍和设备，潜力还没有得到充分发挥，农业科研方面人力、物力、财力本来有限，却因各地“小而全”的建制，造成机构重叠、科研课题重复的后果。　　四川省委、省政府在酝酿进行体制改革的同时，引导“三农”积极开展多渠道协作，主要做法是：　　一、农牧厅牵头，做好三家协调组织工作，根据生产需要确定课题，联合办高产示范片，联合建立综合科学实验基地，联合攻关。　　二、联合培训农业技术人才。１９７９年以来，“三农”合作，培训县级和县以下主管农业的干部和农技人员１，０００多人。　　三、农牧厅与省农科院合作，建立研究中心。　　四、从资金和政策上给予支持。　　“三农”协作加快了科技成果的推广应用，去年新的科技成果应用面已达５０％，其中，获得农牧渔业部重大科技成果一等奖的“绵阳１１号小麦”，在三年的时间内试验推广１，７００万亩，平均每亩增产６０斤到８０斤，最高亩产达到千斤。,四川“三农”为农民提供技术服务,行政管理、科研、教育部门开展多渠道协作
556,,1984-02-27,本报讯　新疆维吾尔自治区最近成立了由农业厅牵头，由新疆农科院和“八一”农学院联合组成的“三农”协调领导小组，打破了一度“三农”鼎立的局面，研究安排了在粮食作物、经济作物、土壤肥料、植物保护、园艺、农业经济、农业机械等方面的１２个合作攻关项目，以及人才培养、图书资料、科技情报、仪器设备、成果管理等方面的协作往来关系。　　“三农”协作带动了“三牧”协作，自治区畜牧厅、畜科院和农学院畜牧系也相继成立了“三牧”协作领导小组，由畜牧厅牵头，三方组成１９个专业组，在牲畜饲养与繁殖、传染病、寄生虫、兽医卫生检疫、草原资源保护、畜产品加工、畜牧机械、牧业经济等方面进行协作。　　与此同时，农学院水利系与自治区水利厅，农学院林学系与林业厅也开始共同研究，磋商如何加强合作，以适应农村商品生产对农业科技提出的紧迫需求。,新疆“三农”“三牧”发展科研协作,
555,陈崎嵘,1990-05-06,　　前一段，我随工作组到浙江天台县丽泽乡，开展党的基本路线教育活动，其间，就农村、农业、农民这“三农”问题我搞了较深入的调查。下面是我的一些见闻和一些感受及想法。　　　　　　一　　农民目前有“四喜”：　　一喜自主。即无论是种地、还是经营，都自己有权作主。　　二喜自由。农民冲破了土地和区域的限制，汇进了新的产业洪流之中。丽泽全乡约有２／３以上的劳力闲时外出，北到太阳岛，南下海南岛。　　三喜发展快。除传统的种养殖业外，家庭加工业、商业、服务业、建筑业等都迅猛发展。农民人均收入中，非农业收入已占一半左右。尤其乡镇企业，１９８９年丽泽乡乡镇企业总产值已超过５０００万元，相当于解放初天台全县工业产值的１３倍。　　四喜生活大改善。在诸多变化中，最引人注目的莫过于房屋。农民中流传着这样的顺口溜：“一层嫌闷气，二层嫌土气，三层不稀奇，四层才神气。”诚然，有关人士及县、乡干部对建房热喜忧参半，但在农民看来，祖祖辈辈的夙愿现在开始实现了。　　　　　　二　　住久了，笔者也看到了目前农村存在的一些问题，也听到了农民和干部的牢骚、抱怨。　　一怕政策多变。农民中仍普遍存在着怕变心理，有一种不稳定感。有段时间，一些地方因风闻又要“归大堆”而抢伐承包山林。还有的私人企业要求乡里接收，转为集体企业。　　二怨种田蚀本。据笔者调查，农副产品的平议价差十分悬殊，粮食与其他商品相比，价格上的不合理更为明显。农民反映说，每公斤议价化肥卖到一元二三角，议价钾氨磷卖到４０多元一公斤。农民种田是高投入、低产出，做的是蚀本生意。比较效益低，是影响农民种粮积极性的主要原因之一。　　三怨农资紧缺。平价化肥平均每亩只能得到十来公斤，而实际需要量是４０—５０公斤。农药更是紧缺，常常是用瓶盖分的。农民既幽默又尖刻地说，供应的化肥、农药还没有味精、白糖多。　　四怨“命脉”不畅。现在大多在吃前些年水利建设的老本。群众要求兴修水利的呼声很高。中央重提注重农田水利基本建设后，有的地方舍本求末，摆花架子；有的没有体现谁出力谁得益的原则。这都挫伤了农民兴修水利的积极性。　　五怨负担过重。现在农村各种各样的罚款、摊派，真是名目繁多，不胜枚举。我们粗略一算，大约有几十种，光拖拉机的各种税、费便有１０多样。这些税、费中有合理的，但有相当一部分是随心订出来的。　　六怨土地难管。有的农户把家庭经营看成是分户单干，把承包田视为自留地，碰不得。　　造成以上问题的原因是多方面的。笔者以为，除了前几年对农业重视不够和忽视了对农民的教育之外，农村改革政策和措施的不配套、不完善，宣传上存在着片面性，是重要原因。第一，我们在大面积推行家庭联产承包责任制的同时，忽视了社会主义集体经济在抗御自然灾害、集中农业投放、为农业提供服务等方面所具有的优越性。同时，我们对农业基础设施薄弱、靠天吃饭成分多等注意不够。现在不少村成为“三无”村：集体一无厂、二无场、三无房。这种“赤膊村”占天台全县行政村总数的３２％。在这种村，“集体经济没有实力，社会服务没有能力，公益事业没有财力，干部说话没有气力。”严重影响了农村改革的深入和农村工作的开展。第二，改革政策不够配套。比如土地承包时，集体必要的公益事业建设用地，水利设施用地，村镇建设用地，农户之间人口变动调剂用地等，都没有留出余地。因此，造成今日农民既怕变、又想变的矛盾心理。第三，在宣传农村改革时，只讲改革的必要性和优越性，不讲改革的尝试性和不断完善的必然性；只宣传改革的成果，不讲改革的长期性和复杂性，使农民误认为农村改革可以一步到位。　　　　　　三　　如何深化农村改革？笔者认为，我们不能期望农村改革年年有新招式，天天有大动作，目前要做的工作是：稳定、完善、深化。　　稳定，就是保持政策的连续性。笔者深深感到，党在农村各项现行的方针政策在主导方面是适合目前农村的实际情况、农业的生产力水平和农民的思想觉悟的，不必要变，也不应该变。我们不要过高地估计农村的富裕程度，“规模经营”的提法要适当，使农民对党的农村政策有一种连续感、稳定感和信任感。针对不少农民对农村改革政策的疑虑，笔者认为有必要明确或重申党在农村的各项现行方针政策不变。这样的重申和宣传对于稳定人心，调动农民的积极性，是大有益处的。　　完善，主要是完善双层经营体制。发展村级集体经济是一篇大文章，我们既有成功的经验，也有失误的教训。因此，当再次提出发展村级集体经济时，既要把发展集体经济提到巩固公有制、坚持社会主义的高度来认识，又要与重新“归大堆”划清界限，防止和避免简单的回归。我们现在要发展的集体经济，应当是一种新型的集体经济，可以用一句话来概括：以家庭联产承包为基础，以服务农户为目的，以制度为特征。发展村级集体经济，应当因地制宜，从本乡、本村的实际出发，不可能也不应该有统一的模式。但从实践看，发展之路一般有这么几条：第一，是开发性农业，开发利用荒山、溪滩、水面；第二，是落实林牧工副渔各业承包；第三，是靠乡级企业带动，以乡带村，以大带小；第四，是扶植专业户，由专业户演变发展为村级经济；第五，是建立完善三项制度，即农业承包上交积累制度、义务工劳动积累制度和农业发展基金制度。　　深化，就是寻找农村第二次腾飞的启动力，调动农民投入的积极性。中国农村第二次腾飞的启动力是农民自身，农民应当成为投入的主体。当然，这种投入既有精神的，又有物质的。我们应通过政策手段和教育手段，把中国农村所具有的三大优势，即传统的政治优势，有效的集体优势，丰富的人力优势充分发挥出来。用中国农民所具有的自力更生、艰苦奋斗精神，搞好农业基础建设，增强抗御自然灾害的能力；依靠农民自身的积累，优化农业生产的环境；用集体经济的优越性和双层经营的服务体系来弥补农业生产条件的不足；用丰富的高质量的劳动力来弥补机械化、现代化的欠缺，实行精耕细作，提高粮食单产。去冬今春，各级党政领导发动农民大修水利的事实证明，中国农民中的确蕴藏着巨大的能量和积极性，问题在于我们各级领导指导思想上的明确和工作指导上的得当。,天台“三农”见闻录　,
554,杜怡斌,1990-09-03,　　（河北农业大学教授　杜怡斌）　　目前，我国各省的农业大学要承担人才培养和农业科技攻关双重任务，省农科院主要承担农业科技攻关任务，省农业厅主要承担农业科技攻关成果推广及农业行政任务。这种“三农”分离的体制，自５０年代初期学习苏联模式而来。从实施的情况来看，三农分别自成系统，各方面的积极性都不能充分发挥，互相牵制，力量抵消，以致重大科研项目的攻关很难协作进行，成果推广迟缓，人才的培养也受到影响。三农分离，各自为政，制定政策时，往往只注意各自的利益。又因不正之风的侵入，三农中有的互相对立、拆台。总而言之，三农没有形成有效的合力，群体优势没有得到充分发挥，整体效益很低。这对农业大上、科技兴农极其不利。　　比如，河北农业大学有专职教学、科研人员近千名，副教授、副研究员以上的高职人员２７９名，科研成果突出，但在三农鼎立模式的束缚下，学校人才的优势在科技兴农上没有得到充分的发挥。小麦育种专家卢少源教授说：“全国不是第一的品种，可是就能往国家报，而且还能列入国家‘八五’重点推广项目。我们５个品种都是全省第一，产量质量均比他们好，可就是排不上号，有的甚至在省内也未取得推广资格，影响了科技成果转化为生产力”。棉花育种学家曲健木教授说：“搞育种的苦头吃够了，心酸哪！拿不了第一打屁股，拿了第一又有什么用？”　　三农结合是教学、科研、生产三结合深化发展的历史必然，只有创建具有中国特色的适合我国国情的三农结合管理体制，三农一条心，一股劲，握成一个拳头，为了一个目标，农业才能大上，粮棉才能以前所未有的高速度持续增长，才能为农业大学学生的政治思想和业务能力的提高创造有利的条件。　　解决三农鼎立的问题，实现三农结合，可从管理体制改革入手，分两步走。　　第一步，即过渡性的一步：（一）各省市成立三农（省农业大学、省农科院、省农业厅）结合领导小组，由正省长任组长，三农主要负责人任副组长，有关单位负责人为组员。主要任务是根据国家的战略部署，研究协调省市的农业发展规划，包括农业教育、农业科研和农业推广工作。（二）三农负责人相互兼职，参与三农重大问题的研究和决策。此外，学校教授与科研人员和行业专家相互兼职。（三）三农全力协作进行重大科技攻关项目，推广卓有成效的科研成果，共同探索培养“四有”人才的道路。合力保证农业特别是粮棉高速度的持续增长，取得新的突破。（四）制定三农结合的条例法规。（五）各省政府建立常设农业顾问团，包括三农的主要负责人、专家和学者。有关农业的重大决策，都要经过顾问团的论证。（六）统筹中低层次县乡二级的农村经济、科技和教育的三结合，为高层次的三农结合打好基础。（七）在农业行政、科教单位，加强党的领导，加强思想政治工作，彻底进行治理整顿，肃清不正之风。这是当务之急。　　第二步，政府聘请有关专家、学者、政府官员、管理干部、企业家等组织调查研究和论证，最后作出适合我国国情的三农结合管理体制的决策。,建立“三农”结合管理体制,
553,黄敬,1995-04-08,本报讯  在全国农药紧张的情况下，福建三农化学股份有限公司的农药产品价格一直保持全国最低水平。５年共让利给农民３０００万元，平均年让利６００万元。该公司的前身是三明农药厂，１９９２年改组为规范化的股份制企业，农药生产数量占全省的６０％。改制后，他们派出大批人员进入农药市场调查，把市场信息、农民要求及时反馈回公司。同时，他们还根据发展高产优质高效农业的需求，组织上百名科技人员进行新产品开发，目前已有６个新产品开发成功，并投入批量生产。  （黄  敬）,三农：让利于农农药价最低,
552,赵志文,1996-09-04,本报北京９月３日讯  记者赵志文报道：中国供销合作经济学会今天在京召开第三届会员代表大会。学会名誉会长宋平在讲话中要求供销合作社在新的历史时期担负起为农业、农村、农民服务的重要历史使命。宋平说，我们党历来十分重视合作经济的发展。农村实行以家庭联产承包为主的责任制以后，千家万户的农民怎样进入千变万化的市场，怎样避免生产的盲目性，知道生产什么，生产多少，使生产的东西能够及时卖出去，卖个好价钱，以合理的价格及时买到所需的生产和生活资料，是农村发展社会主义市场经济迫切需要解决的问题，也是广大农民的强烈要求。供销合作社在解决这个问题上起着十分重要的作用。供销合作社联系着城市与农村、工业与农业、生产与流通，涉及农民生产、生活的方方面面。供销合作社经过几十年的发展，形成了遍布全国城乡的经营网络，有一大批农产品加工企业和商品基地，在人才、技术、资金、设施方面有雄厚的力量，供销合作社应当与农村其它各种社区性和专业性的服务组织紧密结合起来，共同担负起为农业、农村和农民服务的重任，这是供销合作社工作的生命线。宋平指出，供销合作社要通过改革，真正实现为农业、农村和农民提供综合性服务的宗旨，真正成为加强党和政府与农民密切联系的桥梁和纽带，这是对供销合作社改革的根本要求。他说，改革开放以来，供销合作社在为农服务方面进行了有益探索，创造了不少好经验。但是，也有一些供销合作社没有适应新的形势，及时调整经营方针，仍然没有摆脱“官商”作风，在农民最需要服务的时候跟不上，工作被动。极少数供销合作社经营作风不正，服务意识淡薄，甚至损害农民和国家的利益。他要求供销合作社健全民主管理制度，切实转变经营作风，通过各种形式吸引社员参与决策和监督，与农民结成经济利益共同体，赢得广大农民信任，增强自身发展活力，为推动农村社会主义市场经济的发展作出更大贡献。他希望中国供销合作经济学会坚持理论联系实际，认真总结和研究我国合作经济发展的新经验，积极探索符合我国农村实际的供销合作事业发展的新路子。,供销合作社要为“三农”服务,宋平在中国供销合作经济学会会员大会上强调
551,张德江,1996-09-23,中共吉林省委书记  张德江解决好“三农”问题，吉林省近期目标是解决农民增收致富问题；中期是解决传统农业向现代化农业转变问题；远期是解决农村全面繁荣问题。江泽民同志在河南考察农业和农村工作时的重要讲话，是在国民经济加快两个根本转变的关键时期，加强农业和农村工作的纲领性文献。这篇讲话体现了党中央对“三农”（农业、农村、农民）问题的高度重视，为在新形势下深化农村改革和转变农业增长方式指明了方向。我们吉林省作为全国的重要商品粮基地，要从根本上重视和解决好“三农”问题。近期目标是实现小康，解决农民增收致富问题；中期目标是实现农业现代化，解决传统农业向现代化农业转变问题；远期目标是实现农村城市化，解决农村全面繁荣问题。实现这样的目标，我们要结合建设粮食大省、畜牧业大省、农产品加工业大省，进而建成农村经济强省的“三大一强”建设，深入贯彻落实江泽民同志的重要讲话精神，在实践中注意把握好几个阶段性目标的内在联系，既注重阶段性跃升，又注重整体推进。一是立足农业优势，以抓种抓水和抓科技为重点，狠抓粮食生产不放松，到本世纪末，使我省商品粮基地县达到２８个，争取形成１０个左右年产量超１５亿公斤的产粮大县，再增产５０亿公斤商品粮。二是要把畜牧业摆在特殊重要位置，改良品种、开发饲料，强化加工环节，积极开拓外埠市场，拉动畜牧业快速发展。要大力推进规模经营，重点实施肉牛工程和生猪工程，建设２３个年出栏１０万头牛的肉牛基地县、１０个养猪大县、１０个养禽大县，使之成为建设畜牧业大省的重要支柱。三是要把多种经营生产作为促进农民增收致富的重要门路，突出区域特色，集中连片布局，实行系列开发，形成产品优势，加快发展步伐。省里重点抓好１０个多种经营大县。四是以农产品加工业为重点，采取有突破性的政策措施，大力发展乡镇企业，走出一条具有吉林特色的农村工业化道路。五是加快实施龙型经济牵动战略，突出抓好龙头企业建设，带动各具特色的区域经济发展。全省要重点抓好六大系列龙型经济项目，主要是２００万头牛加工系列、生猪加工系列、羊加工系列、农安的鹅系列。同时抓好百万吨玉米深加工项目、马铃薯淀粉加工项目等。力争尽快使重点建设项目迈出较大步伐，经过“九五”乃至更长一个时期的努力，要创建一批加工层次较高、连结千家万户、衔接国内外市场、带动一方经济快速发展的龙型产业群体，基本形成全省农村经济产业化格局。目前，我省正在编制《１９９６—２０１０年农村发展纲要》，将对农村经济和社会发展作出全面科学的规划。,高度重视『三农』问题（五）,
550,赵志文,1997-05-23,本报宜兴５月２２日电  记者赵志文报道：国务委员、中华全国供销合作总社理事会主任陈俊生，今天致信在此间召开的全国供销合作社商场工作会议，要求供销社商场以农业、农村、农民的需要为根本出发点，积极参与大市场，开展大流通，促进经济发展。陈俊生指出，改革开放以来，一批现代化的商厦在城镇拔地而起，商场已成为促进城乡商品流通的生力军，成为当地物质文明和精神文明建设的排头兵。供销合作社是农民的合作经济组织，作为供销合作社重要组成部分的商场，一定要以农业、农村、农民的需要为根本出发点，按照立足城镇，面向农村，城乡结合，协调发展的原则，充分发挥自己在管理、设施、市场、信息等方面的优势，积极参与大市场，开展大流通，促进城乡经济发展，为满足人民群众日益增长的物质和文化需要多做工作。据悉，今年以来，供销社系统大力开拓农村市场，取得长足的进展，供销社的“百强”商场销售总额以２５％的速度增长。,供销社商场要以“三农”需要为根本出发点,陈俊生致信全国供销社商场工作会议
549,杜继昌,1997-10-15,据新华社天津１０月１４日电  （记者杜继昌）国务委员陈俊生最近考察天津农村时强调，要认真贯彻执行十五大精神，进一步解放思想，加大改革力度，把供销合作社真正办成农民自己的合作经济组织，搞好“三农”服务，在加快农业产业化和农村经济发展中发挥更大作用。陈俊生在宝坻县饶有兴趣地考察了华北地区最大的北方生猪批发交易市场、农副产品加工厂和农业综合开发等，并同天津市和宝坻县领导就供销合作社改革、农业产业化和农业综合开发问题进行了座谈。他对天津市在供销合作社改革、农业产业化和农业综合开发方面取得成绩很满意，给予充分肯定。他说，农村工作的核心问题是农民问题，如何维护好农民的利益，让农民得到实惠、调动起农民的积极性，这是作为农村工作的关键。他强调，供销合作社一定要维护农民的利益，让农民当家做主，把供销合作社真正办成农民自己的合作经济组织。他指出，供销合作社的宗旨是要为农民服务，要把供销合作社真正办成农民自己的合作经济组织必须解决好三个问题：一是要把产权归农民社员所有；二是农民社员要有经营管理权；三是农民要成为主要受益者。这三个问题解决好了，供销合作社也就真正办好了。他还指出，要把供销合作社改革搞好，要注意解决好历史遗留的经济包袱和人员负担问题，要狠抓减员增效、下岗分流，转换经营机制，改进工作作风，增强内部活力。陈俊生在考察中对农业产业化和农业综合开发等问题也很关心。陈俊生是于１０月１３日至１４日到天津市农村考察的。,供销社要搞好『三农』服务,陈俊生在考察天津农村时强调
