Id,Label,timeset,weight,indegree,outdegree,degree,modularity_class
"技术",技术,,51,230,230,460,2
"玉米",玉米,,20,115,115,230,6
"发展",发展,,573,422,422,844,0
"政府",政府,,55,230,230,460,76
"问题",问题,,190,335,335,670,0
"能源",能源,,2,9,9,18,2
"粮食",粮食,,75,216,216,432,6
"农业",农业,,604,436,436,872,2
"产业",产业,,203,369,369,738,3
"秋收",秋收,,2,10,10,20,31
"农产品",农产品,,156,303,303,606,4
"产品",产品,,52,169,169,338,4
"食品",食品,,23,135,135,270,4
"就业",就业,,21,174,174,348,64
"生态",生态,,113,308,308,616,12
"文化",文化,,103,264,264,528,10
"现代化",现代化,,75,225,225,450,14
"生产",生产,,151,323,323,646,5
"粮食安全",粮食安全,,11,78,78,156,6
"绿色",绿色,,48,229,229,458,1
"安全",安全,,34,187,187,374,11
"产业链",产业链,,20,148,148,296,1
"农民",农民,,402,391,391,782,6
"习近平",习近平,,169,294,294,588,7
"总书记",总书记,,51,252,252,504,8
"三农",三农,,212,312,312,624,8
"战略",战略,,164,312,312,624,9
"绿水青山",绿水青山,,11,137,137,274,16
"金山",金山,,12,146,146,292,16
"银山",银山,,10,136,136,272,16
"路子走",路子走,,3,81,81,162,16
"结构性",结构性,,28,172,172,344,25
"改革",改革,,151,302,302,604,9
"乡村",乡村,,534,406,406,812,10
"建设",建设,,280,351,351,702,11
"工作",工作,,289,312,312,624,12
"村庄",村庄,,25,232,232,464,65
"家庭",家庭,,40,216,216,432,23
"贫困",贫困,,32,211,211,422,39
"农村居民",农村居民,,12,127,127,254,36
"收入",收入,,64,269,269,538,13
"城乡居民",城乡居民,,11,148,148,296,20
"农村",农村,,788,392,392,784,14
"精神文明",精神文明,,10,125,125,250,17
"特色",特色,,126,299,299,598,37
"社会主义",社会主义,,68,273,273,546,21
"乡风",乡风,,27,184,184,368,15
"文明",文明,,60,263,263,526,15
"生活富裕",生活富裕,,13,145,145,290,7
"农业产业",农业产业,,26,180,180,360,5
"农民收入",农民收入,,42,217,217,434,35
"城乡",城乡,,144,252,252,504,16
"经济",经济,,111,258,258,516,17
"职业",职业,,16,130,130,260,30
"互联网",互联网,,11,86,86,172,14
"物流",物流,,9,98,98,196,3
"旅游",旅游,,61,189,189,378,10
"电商",电商,,20,132,132,264,3
"经营",经营,,95,312,312,624,75
"模式",模式,,28,205,205,410,45
"创新",创新,,72,262,262,524,44
"新型农村",新型农村,,1,18,18,36,14
"资本",资本,,31,167,167,334,2
"下乡",下乡,,18,126,126,252,3
"创业",创业,,26,170,170,340,18
"集体经济",集体经济,,19,199,199,398,7
"知识",知识,,14,135,135,270,17
"管理",管理,,33,224,224,448,19
"深化改革",深化改革,,5,79,79,158,20
"数据",数据,,19,120,120,240,2
"群众",群众,,66,264,264,528,18
"产权制度",产权制度,,16,183,183,366,51
"产权",产权,,7,102,102,204,28
"体系",体系,,78,277,277,554,19
"制度",制度,,74,260,260,520,20
"机制",机制,,83,282,282,564,21
"农村金融",农村金融,,7,103,103,206,74
"供销社",供销社,,5,75,75,150,17
"环境",环境,,79,310,310,620,22
"服务",服务,,67,259,259,518,71
"民生",民生,,13,163,163,326,24
"城市",城市,,65,225,225,450,23
"农民工",农民工,,12,83,83,166,23
"人民",人民,,20,159,159,318,27
"幸福美好",幸福美好,,2,39,39,78,18
"林田湖",林田湖,,6,84,84,168,10
"环保",环保,,8,86,86,172,22
"基础设施",基础设施,,40,233,233,466,24
"教育",教育,,29,176,176,352,69
"医疗",医疗,,7,65,65,130,13
"社会保障",社会保障,,8,106,106,212,29
"公共服务",公共服务,,66,252,252,504,25
"均等化",均等化,,15,151,151,302,26
"农户",农户,,84,294,294,588,41
"拓宽",拓宽,,8,100,100,200,68
"安居乐业",安居乐业,,4,45,45,90,10
"经验",经验,,27,215,215,430,26
"小微",小微,,3,57,57,114,16
