Source Target Weight
技术 玉米 15
技术 发展 619
技术 政府 37
技术 问题 182
技术 粮食 31
技术 农业 633
技术 产业 184
技术 农产品 56
技术 产品 27
技术 食品 12
技术 就业 11
技术 生态 132
技术 文化 68
技术 现代化 51
技术 生产 130
技术 绿色 29
技术 安全 18
技术 产业链 17
技术 农民 446
技术 习近平 195
技术 总书记 23
技术 三农 194
技术 战略 78
技术 绿水青山 12
技术 金山 16
技术 银山 12
技术 路子走 4
技术 结构性 15
技术 改革 136
技术 乡村 310
技术 建设 243
技术 工作 252
技术 村庄 26
技术 家庭 52
技术 贫困 10
技术 农村居民 12
技术 收入 40
技术 城乡居民 11
技术 农村 780
技术 精神文明 22
技术 特色 64
技术 社会主义 49
技术 乡风 14
技术 文明 50
技术 生活富裕 9
技术 农业产业 33
技术 农民收入 57
技术 城乡 152
技术 经济 197
技术 职业 21
技术 互联网 15
技术 物流 7
技术 旅游 36
技术 电商 16
技术 经营 100
技术 模式 22
技术 创新 68
技术 资本 29
技术 下乡 23
技术 创业 31
技术 集体经济 19
技术 知识 25
技术 管理 27
技术 深化改革 5
技术 数据 25
技术 群众 52
技术 产权制度 10
技术 产权 10
技术 体系 63
技术 制度 63
技术 机制 58
技术 农村金融 5
技术 供销社 8
技术 环境 59
技术 服务 56
技术 民生 16
技术 城市 67
技术 农民工 6
技术 人民 16
技术 林田湖 4
技术 环保 4
技术 基础设施 28
技术 教育 32
技术 医疗 4
技术 社会保障 9
技术 公共服务 45
技术 均等化 17
技术 农户 51
技术 拓宽 6
技术 经验 28
技术 民主 12
技术 党组织 56
技术 社会 40
技术 基层 49
技术 党委 18
技术 责任制 8
技术 技能 8
技术 专家 12
技术 培训 77
技术 项目 18
技术 难题 10
技术 需求 35
技术 劳动力 12
技术 素质 11
技术 一家一户 6
技术 地方 58
技术 企业 30
技术 资源 66
技术 积极性 21
技术 现代农业 93
技术 科学 43
技术 精神 43
技术 经济效益 13
技术 商品 4
技术 经济作物 4
技术 效益 20
技术 工业 10
技术 运输 6
技术 惠康 4
技术 龙头企业 13
技术 科技 34
技术 招贤 4
技术 政策 72
技术 全国 84
技术 合作 22
技术 顾问团 4
技术 生态环境 26
技术 稳定 29
技术 高水平 16
技术 文明村 4
技术 小康之家 4
技术 子孙后代 4
技术 标准 18
技术 体制改革 7
技术 农村土地 11
技术 农场 24
技术 合作社 26
技术 改革开放 5
技术 市场 93
技术 石家庄 4
技术 投资 23
技术 中央 30
技术 农惠农 5
技术 经济社会 12
技术 小康 12
技术 市场化 4
技术 生态农业 20
技术 消费 4
技术 土地 29
技术 农药 6
技术 品牌 10
技术 明显改善 5
技术 支持 16
技术 和谐社会 9
技术 贫困人口 4
技术 小康社会 7
技术 扶贫 27
技术 因地制宜 14
技术 脱贫 20
技术 行业 5
技术 养老 9
技术 电子商务 4
技术 财政 6
技术 公共财政 9
技术 建立健全 14
技术 长效机制 13
技术 义务教育 5
技术 养老金 5
技术 医疗保险 5
技术 村民 25
技术 权益 6
技术 博大精深 5
技术 弘扬 8
技术 资金 22
技术 智慧 4
技术 蔬菜 7
