Id Label Weight
技术 技术 51
玉米 玉米 20
发展 发展 573
政府 政府 55
问题 问题 190
能源 能源 2
粮食 粮食 75
农业 农业 604
产业 产业 203
秋收 秋收 2
农产品 农产品 156
产品 产品 52
食品 食品 23
就业 就业 21
生态 生态 113
文化 文化 103
现代化 现代化 75
生产 生产 151
粮食安全 粮食安全 11
绿色 绿色 48
安全 安全 34
产业链 产业链 20
农民 农民 402
习近平 习近平 169
总书记 总书记 51
三农 三农 212
战略 战略 164
绿水青山 绿水青山 11
金山 金山 12
银山 银山 10
路子走 路子走 3
结构性 结构性 28
改革 改革 151
乡村 乡村 534
建设 建设 280
工作 工作 289
村庄 村庄 25
家庭 家庭 40
贫困 贫困 32
农村居民 农村居民 12
收入 收入 64
城乡居民 城乡居民 11
农村 农村 788
精神文明 精神文明 10
特色 特色 126
社会主义 社会主义 68
乡风 乡风 27
文明 文明 60
生活富裕 生活富裕 13
农业产业 农业产业 26
农民收入 农民收入 42
城乡 城乡 144
经济 经济 111
职业 职业 16
互联网 互联网 11
物流 物流 9
旅游 旅游 61
电商 电商 20
经营 经营 95
模式 模式 28
创新 创新 72
新型农村 新型农村 1
资本 资本 31
下乡 下乡 18
创业 创业 26
集体经济 集体经济 19
知识 知识 14
管理 管理 33
深化改革 深化改革 5
数据 数据 19
群众 群众 66
产权制度 产权制度 16
产权 产权 7
体系 体系 78
制度 制度 74
机制 机制 83
农村金融 农村金融 7
供销社 供销社 5
环境 环境 79
服务 服务 67
民生 民生 13
城市 城市 65
农民工 农民工 12
人民 人民 20
幸福美好 幸福美好 2
林田湖 林田湖 6
环保 环保 8
基础设施 基础设施 40
教育 教育 29
医疗 医疗 7
社会保障 社会保障 8
公共服务 公共服务 66
均等化 均等化 15
农户 农户 84
拓宽 拓宽 8
安居乐业 安居乐业 4
经验 经验 27
小微 小微 3
民主 民主 12
党组织 党组织 34
社会 社会 66
基层 基层 41
第一书记 第一书记 5
党委 党委 19
责任制 责任制 8
技能 技能 5
专家 专家 8
林林总总 林林总总 1
培训 培训 37
项目 项目 32
难题 难题 13
需求 需求 39
劳动力 劳动力 9
素质 素质 8
一家一户 一家一户 3
地方 地方 64
企业 企业 72
资源 资源 66
多渠道 多渠道 3
积极性 积极性 25
王东明 王东明 1
生产能力 生产能力 3
农村土地 农村土地 12
贫困人口 贫困人口 16
幸福感 幸福感 9
中央 中央 41
李克强 李克强 1
总理 总理 1
精神 精神 35
竞争力 竞争力 11
品牌 品牌 41
现代农业 现代农业 68
全国 全国 80
康养 康养 4
电子商务 电子商务 7
小镇 小镇 34
利益 利益 29
服务体系 服务体系 8
龙头企业 龙头企业 15
合作社 合作社 25
订单 订单 30
稳定 稳定 46
扶贫 扶贫 106
因地制宜 因地制宜 15
田园 田园 6
法律 法律 6
土地 土地 37
经营权 经营权 3
市场 市场 134
脱贫 脱贫 73
基金 基金 6
信贷 信贷 6
财政 财政 12
融资 融资 5
政策 政策 104
支持 支持 48
养老 养老 13
基层组织 基层组织 6
科学 科学 35
经济效益 经济效益 4
商品 商品 8
经济作物 经济作物 1
效益 效益 24
工业 工业 5
运输 运输 7
惠康 惠康 1
科技 科技 30
招贤 招贤 1
合作 合作 23
顾问团 顾问团 1
生态环境 生态环境 29
高水平 高水平 9
文明村 文明村 1
小康之家 小康之家 1
子孙后代 子孙后代 3
标准 标准 25
体制改革 体制改革 4
农场 农场 16
改革开放 改革开放 7
石家庄 石家庄 2
投资 投资 29
宁德 宁德 2
宝贵 宝贵 5
西部 西部 4
经济社会 经济社会 13
蓝图 蓝图 7
党中央 党中央 16
城镇化 城镇化 14
小康 小康 23
农惠农 农惠农 5
小康社会 小康社会 18
茶叶 茶叶 6
报告 报告 22
市场经济 市场经济 3
生态农业 生态农业 13
智慧 智慧 7
食品安全 食品安全 5
政策措施 政策措施 2
贫困县 贫困县 16
贫困户 贫困户 32
千秋 千秋 2
水土保持 水土保持 2
养殖 养殖 14
农药 农药 8
工业化 工业化 8
惠民 惠民 3
林权 林权 4
龙岩 龙岩 1
林改 林改 2
宝贵财富 宝贵财富 4
市场化 市场化 8
消费 消费 24
明显改善 明显改善 3
和谐社会 和谐社会 5
行业 行业 11
天荒坪 天荒坪 1
蓝天 蓝天 1
林木 林木 1
公共财政 公共财政 7
建立健全 建立健全 17
普惠性 普惠性 2
长效机制 长效机制 10
义务教育 义务教育 3
养老金 养老金 3
医疗保险 医疗保险 3
村民 村民 30
权益 权益 6
博大精深 博大精深 4
弘扬 弘扬 12
蔬菜 蔬菜 11
石斛 石斛 2
玛卡 玛卡 2
老大难 老大难 1
市场需求 市场需求 10
宛若 宛若 1
冰凌 冰凌 1
王福满 王福满 1
辛勤 辛勤 1
母爱 母爱 1
贫困地区 贫困地区 17
农家乐 农家乐 20
承载力 承载力 3
国务院 国务院 3
金融 金融 12
农耕 农耕 17
小麦 小麦 7
掌勺 掌勺 1
稻谷 稻谷 6
粮价 粮价 6
托起来 托起来 1
补贴 补贴 25
谷贱伤农 谷贱伤农 1
田野 田野 4
粮食价格 粮食价格 3
期货市场 期货市场 17
买卖双方 买卖双方 1
金融机构 金融机构 10
规模化 规模化 6
集约化 集约化 5
期货 期货 43
保险 保险 31
公司 公司 8
保险公司 保险公司 5
农业部 农业部 2
大力支持 大力支持 1
试点工作 试点工作 2
资金 资金 34
银行 银行 3
成本 成本 19
监管 监管 16
吴奇修 吴奇修 1
宏观调控 宏观调控 1
公正 公正 1
马瑞燕 马瑞燕 3
亚军 亚军 1
于伟国 于伟国 1
