探索 现代化
了解 三农问题
三农问题 本报记者
集中 突破
投入 万元
工程 实施
起来 完成
增长 更
更 完善
得到 改善
工程 完成
村 村民
近年来 累计
累计 投资
累计 万元
投资 万元
投资 帮助
万元 帮助
帮助 改造
配套 现在
现在 村
村 种植
种植 致富
不少 家庭
价格 销售
信息 致富
企业 社会
覆盖 情况
文化 下乡
集中 活动
教育 科技
进城 农民工
介绍 今年
今年 村里
亩 小麦
亩 亩
小麦 亩
村 文化
乡 看到
网络 增加
县 建立
建立 县
建立 村级
化肥 农药
农药 方面
网络 品牌
得到 政府
旅游 开发
村 书记
条件 改变
开发 项目
本报 北京
提供 制度
提供 保障
制度 保障
金融服务 水平
水平 提高
提高 促进
提高 城乡
促进 城乡
促进 金融
城乡 金融
金融 经济
经济 协调
银行 管理
贷款 公司
贷款 管理
公司 管理
管理 贷款
贷款 公司
资金 管理
公司 资金
组织 机构
组织 公司
机构 公司
机构 治理
公司 治理
公司 经营
治理 经营
经济 提供
提供 金融服务
金融机构 银行
银行 管理
银行 经营
业务 条件
贷款 公司
合作 银行
经济 提供
提供 贷款
金融机构 贷款
金融机构 公司
贷款 公司
贷款 管理
公司 管理
贷款 公司
本报 北京
县域 经济
经济 农行
农行 正在
正在 制定
相关 政策
农行 支农
支农 贷款
达 亿元
亿元 了解
了解 农行
农行 主要
主要 基本
基本 达到
正在 积极
部门 进行
今年 完成
本报 北京
化肥 农资
农资 产品
农资 市场
产品 市场
产品 价格
市场 价格
市场 基本
价格 基本
价格 稳定
基本 稳定
稳定 国家
开展 全国
开展 农资
全国 农资
全国 价格
农资 价格
价格 涉农
全国 范围
范围 开展
开展 农资
开展 价格
农资 价格
价格 涉农
化肥 农资
农资 价格
政策 情况
情况 指出
指出 农资
指出 产品
农资 产品
存在 各级
存在 价格
各级 价格
农资 产品
农资 需求
产品 需求
需求 加强
加强 市场
加强 价格
市场 价格
监管 化肥
化肥 农资
农资 产品
产品 价格
保护 种粮
种粮 积极性
积极性 重点
重点 化肥
化肥 环节
政府 化肥
化肥 环节
农资 价格
价格 措施
利益 价格
中 重点
基础设施 中
国家 要求
要求 各级
要求 价格
各级 价格
进一步 推进
进一步 价格
推进 价格
农户 活动
价格 网络
网络 作用
国家 改革
农资 价格
价格 涉农
重点 组织
组织 直接
试点 工程
工程 直接
农户 集中
比较 群众
全省 建成
工程 开展
办法 措施
措施 满足
群众 精神
群众 文化
精神 文化
精神 需求
文化 需求
文化 全省
需求 全省
体系 组织
体系 实施
组织 实施
实施 投入
投入 万元
实施 农村基层
累计 投入
累计 资金
投入 资金
投入 万元
资金 万元
资金 建立
万元 建立
政府 报告
报告 指出
报告 推进
指出 推进
指出 社会主义
推进 社会主义
必须 重点
经济 增加
经济 农民收入
增加 农民收入
农民收入 今年
今年 安排
安排 用于
资金 亿元
亿元 去年
去年 增加
去年 亿元
增加 亿元
扶持 金融机构
金融机构 近年来
金融机构 支农
近年来 支农
近年来 贷款
支农 贷款
贷款 增长
信用社 农业银行
涉农 贷款
涉农 余额
贷款 余额
贷款 达到
余额 达到
金融机构 贷款
贷款 难
贷款 建议
难 建议
难 加快
建议 加快
建议 构建
加快 构建
金融服务 体系
金融服务 形成
体系 形成
体系 有效
形成 有效
有效 金融
扶持 金融机构
金融机构 综合
综合 政策
综合 配套
政策 配套
政策 支持
配套 支持
配套 帮助
支持 帮助
帮助 金融机构
进行 现代
进行 企业
现代 企业
现代 制度
企业 制度
企业 改革
制度 改革
健康 发挥
支农 作用
作用 代表
调研 看到
不能 帮助
帮助 解决
各级 政府
政府 重视
重视 三农问题
三农问题 各地
村 搞
缺乏 能力
村 起来
难 解决
难 三农问题
解决 三农问题
三农问题 加强
发挥 代表
代表 作用
开展 代表
组织 代表
统筹 城乡
城乡 惠农
惠农 政策
惠农 落实
政策 落实
政策 情况
落实 情况
情况 进行
进行 调研
进行 提出
调研 提出
提出 很多
情况 调研
机构 提出
提出 加强
规范 管理
管理 加快
落实 代表
抓 抓
必须 全面
全面 科学
地区 必须
必须 抓
抓 生态
生态 产业化
产业化 产业化
产业化 城镇化
积极性 全市
全市 种植
产业化 龙头企业
龙头企业 改变
改变 去年
去年 人均
人均 增加
增加 达到
培训 加强
加强 培训
加强 提高
培训 提高
培训 内容
内容 围绕
围绕 社会主义
方向 转变
技术 主要
主要 集中
产业 全面
产业 覆盖
全面 覆盖
覆盖 文化
文化 科技
文化 方面
科技 方面
方面 培训
市场 能力
方面 培训
农业部 科技
科技 教育
总书记 全国
提出 努力
努力 成为
学习 专业
生活 环境
不少 明显
中 不少
钱 去年
做 做
认为 水稻
需要 地方
进入 城市
城市 社会
调查 中
始终 中国
中国 社会
社会 主体
主体 没有
做 时代
城乡 差距
差距 进一步
真正 社会
社会 更
更 实现
部门 积极
积极 引导
鼓励 了解
了解 了解
更 人民
我国 经济
城市 现代
城市 经济
现代 经济
现代 部门
经济 部门
传统 经济
传统 部门
经济 部门
经济 结构
结构 强化
强化 过程
三农问题 认识
我国 传统
我国 社会
传统 社会
经济 体系
达到 稳定
工业 文明
现代 部门
技术 产品
产品 传统
传统 部门
传统 部门
结构 强化
体系 中
传统 部门
现代 部门
现代 部门
部门 工业
工业 产品
现代 部门
部门 农药
农药 化肥
传统 部门
传统 更加
部门 更加
更加 现代
现代 部门
部门 必须
现代 部门
部门 传统
传统 部门
中 传统
中 部门
传统 部门
收入 下降
产量 增加
增加 不能
不能 传统
传统 部门
部门 更
需求 价格
产量 增加
增加 价格
需求 收入
提高 用于
价格 保持
传统 社会
主要 生活
主要 方式
生活 方式
特别 突出
结构 主要
城市 经济
经济 现代化
经济 传统
教育 基础设施
基础设施 城市
城市 人均
工业化 进程
体系 现代
现代 部门
部门 传统
传统 部门
部门 功能
传统 部门
致富 困难
我国 经济
农民收入 没有
增加 收入
收入 增加
增加 补贴
收入 差距
差距 扩大
现代 部门
城乡 差距
减少 促进
促进 劳动力
产业化 工业化
工业化 城镇化
城镇化 推进
结构 解决
结构 三农问题
解决 三农问题
科技 文化
群众 中
直接 达
各地 不同
优质 蔬菜
方面 存在
提出 解决
解决 办法
开展 科技
合作 开展
获得 全国
全国 文化
全国 科技
文化 科技
资本 市场
市场 信息
信息 优势
经验 更
打造 中国
中国 最大
基地 国际
国际 市场
亩 基地
基地 万元
企业 里
投入 项目
搞 项目
市场 科学
科学 实施
搞 养殖
规模 设施
设施 更
公司 加工
万亩 种植
万亩 基地
种植 基地
种植 覆盖
基地 覆盖
难 村民
销售 渠道
销售 价格
渠道 价格
公司 成为
规模 最大
最大 龙头企业
龙头企业 带动
农户 搞
转变 经营
资金 抓
抓 技术
技术 市场
市场 农户
农户 土地
社会 力量
加工 项目
加强 管理
全国 各地
成为 致富
产业 地方
产业 政府
地方 政府
政府 群众
浙江 集团
龙头企业 时间
集团 亿元
直接 带动
现代农业 中
参与 事业
投入 万元
改善 教育
改善 设施
教育 设施
地方 保持
里 全国
全国 各地
万元 用于
万元 扶持
用于 扶持
扶持 县
县 开展
培训 扶持
扶持 地区
地区 创业
合作 社会
集团 社会
累计 超过
累计 亿元
超过 亿元
起来 中国
中国 起来
中央 连续
没有 中央
政策 没有
没有 积极性
没有 没有
积极性 没有
积极性 产业
没有 产业
没有 基础
产业 基础
比较 效益
社会 必须
基础 产品
国家 战略
工业化 城镇化
城镇化 需要
城镇化 大量
需要 大量
需要 资金
大量 资金
资金 工业化
工业化 国家
我国 主要
过去 里
大量 支持
支持 国家
国家 工业化
工业化 城镇化
增加 资金
资金 真正
现代农业 社会主义
要素 经营
加工 方向
加工 促进
全国 开展
基础 加工
融合 现代农业
福建 持续
福建 全省
福建 统一
全省 统一
减少 累计
累计 超过
累计 亿元
超过 亿元
群众 提供
群众 直接
提供 直接
直接 科技
群众 中
进行 形式
形式 内容
内容 创新
技术 指导
科技 下乡
下乡 技术
提供 信息
信息 范围
科技 信息
就业 信息
信息 领域
领域 真正
帮助 解决
解决 大量
渠道 福建
渠道 全省
福建 全省
全省 超过
累计 全省
全省 增加
增加 亿元
生活 改善
改善 经济社会
经济社会 党中央
党中央 社会主义
重大 正在
正在 成为
行动 成为
社会主义 现代化
全面 小康社会
小康社会 目标
目标 科学
科学 提出
提出 统筹
提出 城乡
统筹 城乡
城市 支持
支持 工业
力度 基础
中 得到
加强 近年来
加强 中央
近年来 中央
近年来 连续
中央 连续
粮食 促进
促进 增收
