现在 进入
种粮 党中央
种粮 国务院
党中央 国务院
党中央 出台
国务院 出台
政策 形成
时期 支持
支持 保护
政策 体系
亿元 增长
继续 加大
加大 投入
投入 增加
社会 事业
投入 政府
政府 收益
收益 耕地
收入 用于
投入 去年
去年 中央
中央 亿元
亿元 投资
亿元 中
投资 中
亿元 中央
投资 中
中 基础设施
基础设施 投资
投资 达
投资 亿元
达 亿元
亿元 补贴
补贴 粮食
补贴 农机
农机 补贴
补贴 去年
去年 党中央
党中央 国务院
情况 出台
加强 基础
基础 促进
出台 扶持
增加 亿元
亿元 直接
亿元 补贴
直接 补贴
今年 进一步
进一步 增加
增加 补贴
补贴 办法
办法 部门
部门 今年
水稻 小麦
水稻 玉米
小麦 玉米
补贴 覆盖
覆盖 基础
基础 扩大
补贴 范围
补贴 提高
范围 提高
提高 补贴
补贴 标准
补贴 完善
标准 完善
标准 农资
完善 农资
完善 综合
农资 综合
农资 补贴
综合 补贴
综合 机制
补贴 机制
补贴 落实
机制 落实
机制 种粮
落实 种粮
补贴 资金
资金 今年
小麦 小麦
今年 国家
补贴 达到
达到 亿元
亿元 加快
促进 经济
促进 增长
经济 增长
增长 重大
增加 农机
增加 工业
农机 工业
农机 销售
工业 销售
政策 加大
地区 投资
投资 力度
投资 增加
力度 增加
投资 今年
推动 教育
文化 社会
社会 事业
事业 重点
今年 解决
政策 加大
地区 投资
投资 力度
投资 增加
力度 增加
投资 扩大
试点 范围
试点 加快
范围 加快
人口 实施
扶贫 政策
扶贫 扶贫
政策 扶贫
没有 解决
基本 实现
人口 今年
技术 教育
技术 中心
教育 中心
实践 中
实践 始终
中 始终
中 坚持
始终 坚持
现代农业 专业
中心 规模
农户 中心
中心 提供
技术 指导
农户 养殖
养殖 积极性
积极性 乡
乡 大户
书记 利用
亩 蔬菜
基地 实现
村 成为
村 成为
村 万亩
成为 万亩
万亩 蔬菜
蔬菜 种植
种植 示范
种植 基地
示范 基地
村庄 成为
种 基地
基地 乡
加工 加工
加工 加工
实施 劳动力
转移 去年
企业 加工
进行 系统
进行 培训
系统 培训
专业 转移
转移 劳动力
累计 培训
累计 转移
培训 转移
最大 农行
记者 时
时 中国
经济 具有
城乡 业务
业务 模式
优势 传统
人员 机构
涉农 贷款
农行 经营
实现 利益
认为 农行
金融服务 推进
农行 全国
地区 有效
贷款 质量
试点 地区
地区 贷款
持续 能力
能力 农行
业务 结构
综合 管理
制度 保证
保证 解决
保证 农行
解决 农行
解决 基层
农行 基层
基层 开展
开展 业务
业务 动力
业务 不足
动力 不足
创新 产品
渠道 方式
方式 推进
农村金融 公司
管理 公司
农行 各项
达到 核心
达到 资本
核心 资本
完成 改革
市场 关注
农行 正在
正在 积极
正在 研究
积极 研究
研究 战略
情况 农行
战略 进行
投资 农行
农行 改革
改革 基本
优化 农行
农行 优化
优化 公司
优化 治理
公司 治理
资本 市场
情况 制定
现实 农行
现实 机构
农行 机构
机构 完成
农行 选择
时 综合
综合 资本
资本 市场
维护 成本
能力 比较
公司 选择
本报 北京
农行 安排
贷款 亿元
亿元 围绕
惠农 推广
确保 农户
贷款 亿元
农行 实现
实现 亿元
亿元 增长
委员 国务院
时 强调
中央 经济
经济 会议
会议 中央
会议 精神
会议 围绕
精神 围绕
围绕 增收
增收 基础
加快 落实
政策 努力
保持 经济
解决 劳动力
劳动力 就业
就业 加强
努力 促进
促进 稳定
持续 增收
企业 农户
经济 情况
情况 了解
了解 群众
生活 情况
了解 农民工
了解 创业
农民工 创业
农民工 情况
创业 情况
促进 就业
就业 当前
任务 各地
强化 劳动力
劳动力 培训
培训 引导
培训 企业
引导 企业
引导 采取
企业 采取
采取 措施
措施 稳定
措施 就业
稳定 就业
就业 城乡
城乡 基础设施
使用 农民工
农民工 创业
创业 贷款
贷款 发放
方面 支持
影响 我国
面积 万亩
万亩 强调
强调 政府
综合 科学
扩大 面积
程度 确保
程度 今年
确保 今年
国家 增加
