新华社 北京
三农 专题
专题 晚会
委员 国务院
委员 副
国务院 副
国务院 总理
副 总理
副 回良玉
总理 回良玉
总理 全国人大常委会
回良玉 全国人大常委会
回良玉 副委员长
全国人大常委会 副委员长
副委员长 全国政协
全国政协 副
全国政协 主席
副 主席
希望 田野
晚会 农村
晚会 特色
农村 特色
参加 演出
农民 朋友
反映 近年来
近年来 农村税费
近年来 改革
农村税费 改革
农村税费 义务教育
改革 义务教育
改革 新型
义务教育 新型
义务教育 合作医疗
新型 合作医疗
合作医疗 政策
政策 贯彻落实
贯彻落实 情况
党中央 国务院
党中央 出台
国务院 出台
政策 农业
农业 农村
农民 群众
群众 发展
发展 现代农业
发展 建设
现代农业 建设
现代农业 社会主义
建设 社会主义
建设 新
社会主义 新
社会主义 农村
新 农村
演出 中
中 新农
演出 结束
演出 时
结束 时
结束 回良玉
时 回良玉
种粮 大户
种粮 农民
大户 农民
大户 企业家
农民 企业家
农民 农业
企业家 农业
企业家 科技
农业 科技
科技 乡村
乡村 基层干部
基层干部 三农
三农 先进
先进 代表
全国 农民
农民 农村
农村 基层干部
晚会 国家
国家 发展
发展 改革
改革 委员会
改革 中央
委员会 中央
委员会 农村
中央 农村
中央 工作
农村 工作
农村 领导小组
工作 领导小组
工作 办公室
领导小组 办公室
领导小组 农业部
办公室 农业部
农业部 共同
共同 中央
部门 负责同志
部门 农民
负责同志 农民
农民 农民工
农民工 代表
代表 社会
地区 新
新 农村
新 建设
农村 建设
建设 典型
典型 农家
典型 书屋
农家 书屋
农家 书屋
帮助 村民
走访 更
更 农家
农家 书屋
农家 类似
书屋 类似
农业 科技
农家 书屋
农家 建设
书屋 建设
基础 文化
基础 工程建设
文化 工程建设
文化 农家
工程建设 农家
工程建设 书屋
农家 书屋
书屋 解决
解决 农民
农民 难
难 问题
问题 农家
问题 书屋
农家 书屋
书屋 关键
符合 农民
农民 实际
实际 需求
书屋 需要
资金 扶持
浪费 资金
浪费 损害
资金 损害
资金 政府
损害 政府
规划 今后
今后 全国
全国 万个
全国 行政村
万个 行政村
农家 书屋
农家 建设
书屋 建设
建设 容易
容易 管理
农家 书屋
书屋 城市
体现 农
农 服务
服务 三农
服务 实际
三农 实际
农民 意见
适合 农民
农民 生活
图书 及时
及时 服务
服务 手段
手段 不断创新
不断创新 农家
不断创新 书屋
农家 书屋
需要 及时
农民 兄弟
兄弟 接受
接受 书屋
书屋 配备
配备 设备
农民 更
更 喜欢
喜欢 关键
培养 农民
习惯 农民
习惯 中
农民 中
新型 农民
知识 技术
技术 经营
经营 适应
经营 现代农业
适应 现代农业
现代农业 市场经济
市场经济 发展
发展 政府部门
政府部门 组织
引导 农民
学习 技术
学习 现在
技术 现在
增收 致富
文化 下乡
做好 急需
急需 事情
事情 农家
事情 书屋
农家 书屋
切实 成为
切实 传播
成为 传播
成为 知识
传播 知识
新 农村
新 建设
农村 建设
农村 涉及
建设 涉及
涉及 国家
国家 投入
投入 更
采访 本报记者
中央 一号
中央 文件
一号 文件
年 连续
连续 中央
中央 一号
中央 文件
一号 文件
三农 农业
战略 产业
战略 农村
产业 农村
农村 全面
全面 建设
全面 小康社会
建设 小康社会
小康社会 重点
重点 难点
难点 农民
难点 问题
农民 问题
问题 中国
中国 革命
革命 建设
建设 根本
根本 问题
问题 加快
加快 推进
加快 社会主义
推进 社会主义
推进 现代化
社会主义 现代化
社会主义 进程
现代化 进程
现代化 中
进程 中
进程 必须
中 必须
必须 战略
战略 全局
全局 高度重视
高度重视 三农问题
不能 忽视
不能 必须
忽视 必须
必须 工作
工作 部署
工作 中
部署 中
部署 真正
中 真正
中 落实
真正 落实
真正 重中之重
落实 重中之重
重中之重 基本
基本 要求
不能 动摇
不能 必须
动摇 必须
必须 稳定
稳定 发展
稳定 粮食
发展 粮食
发展 生产
粮食 生产
生产 三农
三农 工作
不能 放松
不能 年
放松 年
放松 连续
年 连续
连续 中央
中央 一号
中央 文件
一号 文件
三农 党中央
党中央 国务院
党中央 坚持
国务院 坚持
坚持 解决
解决 三农问题
三农问题 全党
全党 工作
工作 重中之重
重中之重 体现
体现 今年
体现 一号
今年 一号
今年 文件
一号 文件
文件 提出
提出 始终
始终 党
党 十六大
十六大 党中央
党中央 国务院
党中央 坚持
国务院 坚持
三个代表 思想
思想 指导
指导 全面
指导 贯彻落实
全面 贯彻落实
全面 科学
贯彻落实 科学
贯彻落实 发展观
科学 发展观
发展观 深刻
深刻 分析
深刻 国内外
分析 国内外
分析 形势
国内外 形势
国内外 准确
形势 准确
形势 把握
准确 把握
准确 我国
把握 我国
把握 经济社会
我国 经济社会
我国 发展
经济社会 发展
经济社会 阶段性
发展 阶段性
发展 特征
阶段性 特征
特征 基础
构建 社会主义
构建 和谐社会
社会主义 和谐社会
社会主义 加快
和谐社会 加快
和谐社会 推进
加快 推进
加快 社会主义
推进 社会主义
推进 现代化
社会主义 现代化
现代化 全局
全局 出发
全局 提出
出发 提出
解决 三农问题
三农问题 全党
全党 工作
全党 重中之重
工作 重中之重
重中之重 基本
基本 要求
基本 明确
要求 明确
明确 统筹
统筹 城乡
统筹 经济社会
城乡 经济社会
城乡 发展
经济社会 发展
发展 基本
基本 方略
基本 作出
方略 作出
作出 我国
我国 总体
乡 发展
乡 阶段
发展 阶段
阶段 基本
基本 制定
制定 工业
工业 反哺
工业 农业
反哺 农业
反哺 城市
农业 城市
农业 支持
城市 支持
城市 农村
支持 农村
少取 放活
规划 建设
建设 社会主义
建设 新
社会主义 新
社会主义 农村
新 农村
农村 基本
基本 任务
新 时期
新 指导
时期 指导
时期 三农
指导 三农
指导 工作
三农 工作
工作 战略思想
战略思想 年
战略思想 中央
年 中央
年 连续
中央 连续
中央 出台
连续 出台
指导 农业
农业 农村
农村 工作
工作 一号
一号 文件
一号 制定
文件 制定
具有 意义
政策 采取
具有 意义
意义 重大
重大 举措
举措 全面
全面 取消
全面 农业税
取消 农业税
农民 种地
种地 税收
税收 历史
历史 实行
实行 粮食
实行 直补
粮食 直补
粮食 良种
直补 良种
直补 补贴
良种 补贴
良种 农机具
补贴 农机具
补贴 购置
农机具 购置
农机具 补贴
购置 补贴
补贴 农资
农资 综合
农资 直补
综合 直补
直补 农业
农业 补贴
农业 制度
补贴 制度
补贴 开创
制度 开创
开创 直接
直接 补贴
直接 农民
补贴 农民
农民 历史
全面 粮食
粮食 购销
粮食 市场
购销 市场
市场 价格
农业 市场化
农业 改革
市场化 改革
改革 关键
农村 义务教育
实现 真正
真正 意义
农村 免费
农村 义务教育
免费 义务教育
义务教育 普遍
普遍 建立
普遍 新型农村
建立 新型农村
建立 合作医疗
新型农村 合作医疗
新型农村 制度
合作医疗 制度
合作医疗 减轻
制度 减轻
减轻 农民
负担 全面
全面 建立
全面 农村
建立 农村
建立 最低
农村 最低
农村 生活
最低 生活
最低 保障制度
生活 保障制度
困难 农民
困难 基本
农民 基本
农民 生活
基本 生活
加快 农村
基础设施 建设
基础设施 改善
建设 改善
改善 农民
农民 生产
生产 生活
生产 条件
生活 条件
条件 切实加强
切实加强 农民工
切实加强 权益
农民工 权益
农民工 保护
权益 保护
保护 服务
服务 推动
推动 城乡
城乡 平等
城乡 就业
平等 就业
就业 进程
方面 重大
重大 举措
重大 基本
举措 基本
举措 构建
基本 构建
政策 体系
政策 初步
体系 初步
体系 搭建
初步 搭建
搭建 统筹
统筹 城乡
统筹 发展
城乡 发展
发展 制度
制度 框架
制度 正在
框架 正在
框架 形成
正在 形成
正在 加快
形成 加快
形成 农村
加快 农村
加快 经济社会
农村 经济社会
农村 发展
经济社会 发展
发展 长效机制
看到 我国
看到 农业
我国 农业
我国 农村
农业 农村
农业 面临
农村 面临
新 矛盾
矛盾 挑战
挑战 农业
挑战 资源
农业 资源
农业 环境
资源 环境
环境 市场
市场 约束
市场 增强
约束 增强
约束 保障
