,frequency,isdict,word
0,5462.0,1.0,农村
1,4387.0,1.0,农业
2,4151.0,1.0,农民
3,3774.0,1.0,发展
4,1853.0,1.0,建设
5,1775.0,1.0,三农
6,1560.0,1.0,工作
7,1216.0,1.0,问题
8,1196.0,1.0,生产
9,1182.0,1.0,服务
10,1106.0,1.0,乡村
11,1039.0,1.0,农产品
12,986.0,1.0,改革
13,977.0,1.0,推进
14,963.0,1.0,经济
15,913.0,1.0,政策
16,859.0,1.0,实现
17,841.0,1.0,提高
18,826.0,1.0,解决
19,792.0,1.0,市场
20,776.0,1.0,城乡
21,750.0,1.0,我国
22,722.0,1.0,粮食
23,698.0,1.0,支持
24,689.0,1.0,贷款
25,686.0,1.0,土地
26,658.0,1.0,经营
27,648.0,1.0,全国
28,644.0,1.0,企业
29,636.0,1.0,产业
30,635.0,1.0,加强
31,631.0,1.0,农户
32,604.0,1.0,加快
33,593.0,1.0,社会
34,572.0,1.0,制度
35,564.0,1.0,资金
36,561.0,1.0,增加
37,560.0,1.0,创新
38,552.0,1.0,政府
39,547.0,1.0,实施
40,543.0,1.0,全面
41,540.0,1.0,合作社
42,531.0,1.0,中国
43,524.0,1.0,增收
44,510.0,1.0,国家
45,503.0,1.0,技术
46,501.0,1.0,促进
47,500.0,1.0,组织
48,494.0,1.0,建立
49,493.0,1.0,生活
50,491.0,1.0,坚持
51,488.0,1.0,群众
52,486.0,1.0,科技
53,481.0,1.0,文化
54,478.0,1.0,中央
55,478.0,1.0,基础
56,478.0,1.0,投入
57,476.0,1.0,完善
58,472.0,1.0,成为
59,463.0,1.0,金融
60,461.0,1.0,保障
61,461.0,1.0,机制
62,460.0,1.0,加大
63,459.0,1.0,今年
64,455.0,1.0,三农问题
65,451.0,1.0,扶贫
66,451.0,1.0,推动
67,450.0,1.0,需要
68,444.0,1.0,要求
69,437.0,1.0,振兴
70,416.0,1.0,地方
71,414.0,1.0,提供
72,410.0,1.0,收入
73,410.0,1.0,稳定
74,408.0,1.0,体系
75,407.0,1.0,城市
76,399.0,1.0,村
77,397.0,1.0,现代化
78,397.0,1.0,提升
79,389.0,1.0,水平
80,380.0,1.0,提出
81,380.0,1.0,资源
82,378.0,1.0,管理
83,368.0,1.0,增长
84,364.0,1.0,产品
85,359.0,1.0,形成
86,359.0,1.0,力度
87,356.0,1.0,补贴
88,356.0,1.0,保护
89,356.0,1.0,方式
90,352.0,1.0,持续
91,352.0,1.0,主要
92,352.0,1.0,生态
93,347.0,1.0,战略
94,344.0,1.0,地区
95,342.0,1.0,能力
96,339.0,1.0,价格
97,338.0,1.0,种植
98,336.0,1.0,需求
99,332.0,1.0,质量
100,331.0,1.0,统筹
101,327.0,1.0,开展
102,326.0,1.0,特色
103,322.0,1.0,社会主义
104,319.0,1.0,现代农业
105,319.0,1.0,有效
106,316.0,1.0,环境
107,314.0,1.0,工程
108,313.0,1.0,农民工
109,310.0,1.0,综合
110,309.0,1.0,培训
111,303.0,1.0,记者
112,299.0,1.0,脱贫
113,298.0,1.0,习近平
114,298.0,1.0,村民
115,296.0,1.0,基础设施
116,292.0,1.0,主体
117,289.0,1.0,作用
118,289.0,1.0,教育
119,286.0,1.0,农行
120,285.0,1.0,银行
121,284.0,1.0,家庭
122,281.0,1.0,新型
123,276.0,1.0,流转
124,275.0,1.0,金融服务
125,275.0,1.0,合作
126,274.0,1.0,落实
127,272.0,1.0,部门
128,271.0,1.0,模式
129,271.0,1.0,改善
130,269.0,1.0,党
131,267.0,1.0,研究
132,264.0,1.0,现在
133,263.0,1.0,农民收入
134,263.0,1.0,当前
135,262.0,1.0,积极
136,262.0,1.0,关系
137,262.0,1.0,项目
138,261.0,1.0,引导
139,261.0,1.0,情况
140,260.0,1.0,确保
141,259.0,1.0,条件
142,256.0,1.0,风险
143,253.0,1.0,就业
144,251.0,1.0,重大
145,250.0,1.0,全省
146,250.0,1.0,发挥
147,247.0,1.0,供给
148,247.0,1.0,创业
149,247.0,1.0,治理
150,245.0,1.0,结构
151,244.0,1.0,劳动力
152,244.0,1.0,推广
153,242.0,1.0,公司
154,241.0,1.0,投资
155,241.0,1.0,城镇化
156,240.0,1.0,强调
157,240.0,1.0,安全
158,239.0,1.0,带动
159,232.0,1.0,突出
160,232.0,1.0,规模
161,231.0,1.0,会议
162,231.0,1.0,文件
163,230.0,1.0,体制
164,230.0,1.0,加工
165,229.0,1.0,深入
166,229.0,1.0,试点
167,228.0,1.0,优势
168,227.0,1.0,专业
169,226.0,1.0,经济社会
170,226.0,1.0,基层
171,225.0,1.0,目标
172,224.0,1.0,科学
173,224.0,1.0,基地
174,224.0,1.0,探索
175,222.0,1.0,供销
176,221.0,1.0,做好
177,220.0,1.0,扩大
178,220.0,1.0,耕地
179,219.0,1.0,去年
180,219.0,1.0,产业化
181,218.0,1.0,任务
182,218.0,1.0,增强
183,218.0,1.0,信息
184,217.0,1.0,金融机构
185,217.0,1.0,近年来
186,217.0,1.0,干部
187,216.0,1.0,涉农
188,216.0,1.0,实践
189,215.0,1.0,利益
190,215.0,1.0,领导
191,211.0,1.0,龙头企业
192,209.0,1.0,传统
193,208.0,1.0,培育
194,205.0,1.0,品种
195,205.0,1.0,扶持
196,203.0,1.0,深化
197,203.0,1.0,规划
198,203.0,1.0,指出
199,201.0,1.0,公共服务
200,201.0,1.0,人口
201,201.0,1.0,乡镇
202,200.0,1.0,转变
203,199.0,1.0,指导
204,199.0,1.0,养殖
205,199.0,1.0,人才
206,198.0,1.0,强化
207,197.0,1.0,保险
208,196.0,1.0,支农
209,196.0,1.0,实际
210,196.0,1.0,财政
211,196.0,1.0,转移
212,195.0,1.0,调研
213,195.0,1.0,代表
214,194.0,1.0,开发
215,193.0,1.0,取得
216,193.0,1.0,承包
217,191.0,1.0,努力
218,188.0,1.0,思想
219,187.0,1.0,历史
220,187.0,1.0,讲话
221,184.0,1.0,特别
222,183.0,1.0,旅游
223,183.0,1.0,蔬菜
224,182.0,1.0,信贷
225,182.0,1.0,人均
226,180.0,1.0,各地
227,179.0,1.0,担保
228,178.0,1.0,农村土地
229,178.0,1.0,进入
230,177.0,1.0,积极性
231,177.0,1.0,措施
232,177.0,1.0,实行
233,177.0,1.0,标准
234,176.0,1.0,利用
235,176.0,1.0,建成
236,175.0,1.0,集体
237,175.0,1.0,统一
238,175.0,1.0,精神
239,174.0,1.0,抓
240,174.0,1.0,影响
241,173.0,1.0,领域
242,173.0,1.0,关键
243,173.0,1.0,超过
244,173.0,1.0,现代
245,172.0,1.0,贫困
246,172.0,1.0,下乡
247,170.0,1.0,协调
248,170.0,1.0,万亩
249,170.0,1.0,继续
250,169.0,1.0,致富
251,169.0,1.0,切实
252,168.0,1.0,成本
253,167.0,1.0,鼓励
254,165.0,1.0,相关
255,165.0,1.0,根本
256,165.0,1.0,面积
257,165.0,1.0,帮助
258,165.0,1.0,连续
259,165.0,1.0,参与
260,165.0,1.0,品牌
261,163.0,1.0,种粮
262,163.0,1.0,经验
263,162.0,1.0,程度
264,162.0,1.0,阶段
265,161.0,1.0,制定
266,161.0,1.0,小康社会
267,160.0,1.0,互联网
268,160.0,1.0,减少
269,160.0,1.0,健全
270,159.0,1.0,党组织
271,159.0,1.0,县域
272,158.0,1.0,时代
273,158.0,1.0,认为
274,157.0,1.0,获得
275,157.0,1.0,事业
276,156.0,1.0,玉米
277,156.0,1.0,一号
278,155.0,1.0,出台
279,154.0,1.0,绿色
280,154.0,1.0,惠农
281,154.0,1.0,使用
282,153.0,1.0,难题
283,153.0,1.0,效益
284,152.0,1.0,长期
285,152.0,1.0,精准
286,152.0,1.0,调整
287,151.0,1.0,亩
288,151.0,1.0,优质
289,150.0,1.0,建议
290,149.0,1.0,过程
291,148.0,1.0,要素
292,148.0,1.0,集中
293,148.0,1.0,中心
294,148.0,1.0,了解
295,147.0,1.0,村里
296,147.0,1.0,机构
297,146.0,1.0,销售
298,146.0,1.0,农村基层
299,145.0,1.0,县
300,145.0,1.0,构建
301,145.0,1.0,完成
302,145.0,1.0,变化
303,145.0,1.0,保持
304,145.0,1.0,安排
305,144.0,1.0,覆盖
306,143.0,1.0,业务
307,143.0,1.0,改变
308,143.0,1.0,工业化
309,143.0,1.0,渠道
310,143.0,1.0,差距
311,143.0,1.0,信用社
312,142.0,1.0,各级
313,142.0,1.0,文明
314,142.0,1.0,系统
315,141.0,1.0,结合
316,141.0,1.0,存在
317,141.0,1.0,设施
318,141.0,1.0,工业
319,140.0,1.0,总书记
320,139.0,1.0,电商
321,137.0,1.0,平台
322,137.0,1.0,改造
323,137.0,1.0,搞
324,137.0,1.0,资本
325,137.0,1.0,成立
326,136.0,1.0,经营权
327,136.0,1.0,支撑
328,136.0,1.0,报告
329,135.0,1.0,出现
330,135.0,1.0,过去
331,135.0,1.0,很多
332,135.0,1.0,用于
333,134.0,1.0,困难
334,134.0,1.0,整治
335,133.0,1.0,核心
336,133.0,1.0,应该
337,132.0,1.0,攻坚
338,131.0,1.0,国务院
339,131.0,1.0,小麦
340,131.0,1.0,现实
341,130.0,1.0,不同
342,130.0,1.0,比较
343,130.0,1.0,功能
344,130.0,1.0,小康
345,129.0,1.0,乡
346,128.0,1.0,一年
347,128.0,1.0,本报
348,128.0,1.0,国际
349,128.0,1.0,突破
350,127.0,1.0,形式
351,127.0,1.0,这种
352,127.0,1.0,流通
353,127.0,1.0,时期
354,127.0,1.0,增产
355,127.0,1.0,融合
356,127.0,1.0,采取
357,125.0,1.0,一体化
358,125.0,1.0,满足
359,125.0,1.0,始终
360,124.0,1.0,成果
361,124.0,1.0,时间
362,123.0,1.0,保证
363,123.0,1.0,方向
364,122.0,1.0,规范
365,122.0,1.0,农村金融
366,122.0,1.0,村庄
367,122.0,1.0,农业银行
368,121.0,1.0,累计
369,121.0,1.0,行动
370,121.0,1.0,村级
371,121.0,1.0,监管
372,121.0,1.0,书记
373,120.0,1.0,进程
374,119.0,1.0,集团
375,119.0,1.0,钱
376,119.0,1.0,围绕
377,118.0,1.0,专家
378,118.0,1.0,范围
379,118.0,1.0,认识
380,118.0,1.0,党中央
381,118.0,1.0,人员
382,117.0,1.0,升级
383,117.0,1.0,发生
384,117.0,1.0,贫困地区
385,116.0,1.0,农场
386,116.0,1.0,收益
387,116.0,1.0,明确
388,116.0,1.0,镇
389,115.0,1.0,面临
390,115.0,1.0,动力
391,115.0,1.0,办法
392,114.0,1.0,全市
393,114.0,1.0,粮食安全
394,114.0,1.0,各项
395,114.0,1.0,高效
396,114.0,1.0,力量
397,114.0,1.0,造成
398,114.0,1.0,重视
399,114.0,1.0,调查
400,113.0,1.0,北京
401,113.0,1.0,农资
402,113.0,1.0,内容
403,113.0,1.0,人民
404,113.0,1.0,温家宝
405,113.0,1.0,化肥
406,113.0,1.0,适应
407,112.0,1.0,污染
408,112.0,1.0,打造
409,112.0,1.0,大户
410,112.0,1.0,矛盾
411,111.0,1.0,抓好
412,111.0,1.0,福建
413,111.0,1.0,浙江
414,111.0,1.0,大量
415,110.0,1.0,整合
416,110.0,1.0,有机
417,110.0,1.0,产量
418,110.0,1.0,健康
419,110.0,1.0,不足
420,109.0,1.0,介绍
421,109.0,1.0,收购
422,109.0,1.0,消费
423,109.0,1.0,理论
424,109.0,1.0,学习
425,108.0,1.0,缺乏
426,108.0,1.0,进城
427,108.0,1.0,产业链
428,108.0,1.0,关注
429,108.0,1.0,农业部
430,108.0,1.0,配套
431,108.0,1.0,水稻
432,108.0,1.0,农机
433,107.0,1.0,区域
434,107.0,1.0,优化
435,107.0,1.0,原因
436,107.0,1.0,美丽
437,107.0,1.0,左右
438,107.0,1.0,维护
439,106.0,1.0,知识
440,106.0,1.0,数据
441,105.0,1.0,重中之重
442,104.0,1.0,贫困户
443,104.0,1.0,数量
444,104.0,1.0,下降
445,104.0,1.0,明显
446,104.0,1.0,权益
447,104.0,1.0,用地
448,104.0,1.0,环节
449,103.0,1.0,农药
450,103.0,1.0,示范
451,102.0,1.0,网络
452,102.0,1.0,电影
453,102.0,1.0,委员
454,101.0,1.0,余额
455,101.0,1.0,选择
456,101.0,1.0,发放
