,frequency,isdict,word
0,986.0,1.0,改革
1,977.0,1.0,推进
2,963.0,1.0,经济
3,922.0,1.0,中
4,913.0,1.0,政策
5,859.0,1.0,实现
6,841.0,1.0,提高
7,826.0,1.0,解决
8,792.0,1.0,市场
9,776.0,1.0,城乡
10,750.0,1.0,我国
11,722.0,1.0,粮食
12,698.0,1.0,支持
13,689.0,1.0,贷款
14,686.0,1.0,土地
15,658.0,1.0,经营
16,648.0,1.0,全国
17,646.0,1.0,更
18,644.0,1.0,企业
19,636.0,1.0,产业
20,635.0,1.0,加强
21,631.0,1.0,农户
22,604.0,1.0,加快
23,593.0,1.0,社会
24,572.0,1.0,制度
25,564.0,1.0,资金
26,561.0,1.0,增加
27,561.0,1.0,亿元
28,560.0,1.0,创新
29,552.0,1.0,政府
30,547.0,1.0,实施
31,543.0,1.0,全面
32,540.0,1.0,合作社
33,531.0,1.0,中国
34,524.0,1.0,增收
35,510.0,1.0,国家
36,503.0,1.0,技术
37,501.0,1.0,促进
38,500.0,1.0,组织
39,494.0,1.0,建立
40,493.0,1.0,生活
41,491.0,1.0,坚持
42,488.0,1.0,群众
43,486.0,1.0,科技
44,481.0,1.0,文化
45,478.0,1.0,中央
46,478.0,1.0,基础
47,478.0,1.0,投入
48,476.0,1.0,完善
49,472.0,1.0,成为
50,463.0,1.0,金融
51,461.0,1.0,保障
52,461.0,1.0,机制
53,460.0,1.0,加大
54,459.0,1.0,今年
55,455.0,1.0,三农问题
56,451.0,1.0,扶贫
57,451.0,1.0,推动
58,450.0,1.0,需要
59,444.0,1.0,要求
60,437.0,1.0,振兴
61,416.0,1.0,地方
62,414.0,1.0,提供
63,410.0,1.0,收入
64,410.0,1.0,稳定
65,408.0,1.0,体系
66,407.0,1.0,城市
67,401.0,1.0,重点
68,399.0,1.0,村
69,397.0,1.0,现代化
70,397.0,1.0,提升
71,392.0,1.0,方面
72,389.0,1.0,水平
73,380.0,1.0,提出
74,380.0,1.0,资源
75,378.0,1.0,管理
76,376.0,1.0,必须
77,375.0,1.0,基本
78,372.0,1.0,没有
79,368.0,1.0,增长
80,367.0,1.0,万元
81,364.0,1.0,产品
82,359.0,1.0,形成
83,359.0,1.0,力度
84,356.0,1.0,补贴
85,356.0,1.0,保护
86,356.0,1.0,方式
87,352.0,1.0,持续
88,352.0,1.0,主要
89,352.0,1.0,生态
90,351.0,1.0,进一步
91,350.0,1.0,进行
92,347.0,1.0,战略
93,344.0,1.0,地区
94,344.0,1.0,不能
95,342.0,1.0,能力
96,339.0,1.0,价格
97,338.0,1.0,种植
98,336.0,1.0,需求
99,332.0,1.0,达到
100,332.0,1.0,质量
101,331.0,1.0,统筹
102,327.0,1.0,开展
103,326.0,1.0,特色
104,322.0,1.0,社会主义
105,319.0,1.0,现代农业
106,319.0,1.0,有效
107,316.0,1.0,环境
108,314.0,1.0,工程
109,313.0,1.0,农民工
110,310.0,1.0,综合
111,309.0,1.0,培训
112,303.0,1.0,记者
113,299.0,1.0,脱贫
114,298.0,1.0,习近平
115,298.0,1.0,村民
116,296.0,1.0,基础设施
117,292.0,1.0,主体
118,289.0,1.0,活动
119,289.0,1.0,作用
120,289.0,1.0,教育
121,286.0,1.0,农行
122,285.0,1.0,银行
123,284.0,1.0,家庭
124,281.0,1.0,新型
125,276.0,1.0,流转
126,275.0,1.0,金融服务
127,275.0,1.0,合作
128,274.0,1.0,落实
129,272.0,1.0,部门
130,271.0,1.0,模式
131,271.0,1.0,改善
