,frequency,isdict,word
0,5462.0,1.0,农村
1,4387.0,1.0,农业
2,4151.0,1.0,农民
3,3774.0,1.0,发展
4,1853.0,1.0,建设
5,1775.0,1.0,三农
6,1560.0,1.0,工作
7,1501.0,1.0,新
8,1440.0,1.0,年
9,1216.0,1.0,问题
10,1196.0,1.0,生产
11,1182.0,1.0,服务
12,1106.0,1.0,乡村
13,1039.0,1.0,农产品
14,986.0,1.0,改革
15,977.0,1.0,推进
16,963.0,1.0,经济
17,922.0,1.0,中
18,913.0,1.0,政策
19,859.0,1.0,实现
20,841.0,1.0,提高
21,826.0,1.0,解决
22,792.0,1.0,市场
23,776.0,1.0,城乡
24,750.0,1.0,我国
25,722.0,1.0,粮食
26,698.0,1.0,支持
27,689.0,1.0,贷款
28,686.0,1.0,土地
29,658.0,1.0,经营
30,648.0,1.0,全国
31,646.0,1.0,更
32,644.0,1.0,企业
33,636.0,1.0,产业
34,635.0,1.0,加强
35,631.0,1.0,农户
36,604.0,1.0,加快
37,593.0,1.0,社会
38,572.0,1.0,制度
39,564.0,1.0,资金
40,561.0,1.0,增加
41,561.0,1.0,亿元
42,560.0,1.0,创新
43,552.0,1.0,政府
44,547.0,1.0,实施
45,543.0,1.0,全面
46,540.0,1.0,合作社
47,531.0,1.0,中国
48,524.0,1.0,增收
49,510.0,1.0,国家
50,503.0,1.0,技术
51,501.0,1.0,促进
52,500.0,1.0,组织
53,494.0,1.0,建立
54,493.0,1.0,生活
55,491.0,1.0,坚持
56,488.0,1.0,群众
57,486.0,1.0,科技
58,481.0,1.0,文化
59,478.0,1.0,中央
60,478.0,1.0,基础
61,478.0,1.0,投入
62,476.0,1.0,完善
63,472.0,1.0,成为
64,463.0,1.0,金融
65,461.0,1.0,保障
66,461.0,1.0,机制
67,460.0,1.0,加大
68,459.0,1.0,今年
69,455.0,1.0,三农问题
70,451.0,1.0,扶贫
71,451.0,1.0,推动
72,450.0,1.0,需要
73,444.0,1.0,要求
74,437.0,1.0,振兴
75,416.0,1.0,地方
76,414.0,1.0,提供
77,410.0,1.0,收入
78,410.0,1.0,稳定
79,408.0,1.0,体系
80,407.0,1.0,城市
81,401.0,1.0,重点
82,399.0,1.0,村
83,397.0,1.0,现代化
84,397.0,1.0,提升
85,392.0,1.0,方面
86,389.0,1.0,水平
87,380.0,1.0,提出
88,380.0,1.0,资源
89,378.0,1.0,管理
90,376.0,1.0,必须
91,375.0,1.0,基本
92,372.0,1.0,没有
93,368.0,1.0,增长
94,367.0,1.0,万元
95,364.0,1.0,产品
96,359.0,1.0,形成
97,359.0,1.0,力度
98,356.0,1.0,补贴
99,356.0,1.0,保护
100,356.0,1.0,方式
101,352.0,1.0,持续
102,352.0,1.0,主要
103,352.0,1.0,生态
104,351.0,1.0,进一步
105,350.0,1.0,进行
106,347.0,1.0,战略
107,344.0,1.0,地区
108,344.0,1.0,不能
109,342.0,1.0,能力
110,339.0,1.0,价格
111,338.0,1.0,种植
112,336.0,1.0,需求
113,332.0,1.0,达到
114,332.0,1.0,质量
115,331.0,1.0,统筹
116,327.0,1.0,开展
117,326.0,1.0,特色
118,322.0,1.0,社会主义
119,319.0,1.0,现代农业
120,319.0,1.0,有效
121,316.0,1.0,环境
122,314.0,1.0,工程
123,313.0,1.0,农民工
124,310.0,1.0,综合
125,309.0,1.0,培训
126,303.0,1.0,记者
127,299.0,1.0,脱贫
128,298.0,1.0,习近平
129,298.0,1.0,村民
130,296.0,1.0,基础设施
131,292.0,1.0,主体
132,289.0,1.0,活动
133,289.0,1.0,作用
134,289.0,1.0,教育
135,286.0,1.0,农行
136,285.0,1.0,银行
137,284.0,1.0,家庭
138,281.0,1.0,新型
139,276.0,1.0,流转
140,275.0,1.0,金融服务
141,275.0,1.0,合作
142,274.0,1.0,落实
143,272.0,1.0,部门
144,271.0,1.0,模式
145,271.0,1.0,改善
146,269.0,1.0,党
147,267.0,1.0,研究
148,264.0,1.0,现在
149,264.0,1.0,做
150,263.0,1.0,农民收入
151,263.0,1.0,当前
152,262.0,1.0,积极
153,262.0,1.0,不少
154,262.0,1.0,关系
155,262.0,1.0,项目
156,261.0,1.0,引导
157,261.0,1.0,情况
158,260.0,1.0,确保
159,259.0,1.0,同志
160,259.0,1.0,条件
161,256.0,1.0,风险
162,256.0,1.0,起来
163,254.0,1.0,时
164,253.0,1.0,就业
165,251.0,1.0,重大
166,250.0,1.0,全省
167,250.0,1.0,发挥
168,247.0,1.0,供给
169,247.0,1.0,创业
170,247.0,1.0,治理
171,245.0,1.0,结构
172,244.0,1.0,劳动力
173,244.0,1.0,推广
174,242.0,1.0,公司
175,241.0,1.0,投资
176,241.0,1.0,城镇化
177,240.0,1.0,强调
178,240.0,1.0,安全
179,239.0,1.0,带动
180,237.0,1.0,本报记者
181,232.0,1.0,突出
182,232.0,1.0,规模
183,231.0,1.0,会议
184,231.0,1.0,文件
185,230.0,1.0,体制
186,230.0,1.0,加工
187,229.0,1.0,深入
188,229.0,1.0,试点
189,228.0,1.0,优势
190,227.0,1.0,专业
191,226.0,1.0,经济社会
192,226.0,1.0,基层
193,225.0,1.0,目标
194,224.0,1.0,科学
195,224.0,1.0,基地
196,224.0,1.0,探索
197,222.0,1.0,供销
198,221.0,1.0,得到
199,221.0,1.0,做好
200,220.0,1.0,扩大
201,220.0,1.0,耕地
202,219.0,1.0,去年
203,219.0,1.0,产业化
204,218.0,1.0,任务
205,218.0,1.0,增强
206,218.0,1.0,信息
207,217.0,1.0,金融机构
208,217.0,1.0,近年来
209,217.0,1.0,干部
210,216.0,1.0,涉农
211,216.0,1.0,实践
212,215.0,1.0,利益
213,215.0,1.0,领导
214,212.0,1.0,应
215,211.0,1.0,龙头企业
216,209.0,1.0,传统
217,208.0,1.0,培育
218,205.0,1.0,品种
219,205.0,1.0,扶持
220,203.0,1.0,深化
221,203.0,1.0,规划
222,203.0,1.0,指出
223,201.0,1.0,公共服务
224,201.0,1.0,人口
225,201.0,1.0,乡镇
226,200.0,1.0,转变
227,199.0,1.0,指导
228,199.0,1.0,养殖
229,199.0,1.0,人才
230,198.0,1.0,强化
231,197.0,1.0,保险
232,196.0,1.0,支农
233,196.0,1.0,实际
234,196.0,1.0,财政
235,196.0,1.0,转移
236,195.0,1.0,调研
237,195.0,1.0,代表
238,194.0,1.0,开发
239,193.0,1.0,里
240,193.0,1.0,取得
241,193.0,1.0,承包
242,191.0,1.0,具有
243,191.0,1.0,努力
244,188.0,1.0,思想
245,187.0,1.0,历史
246,187.0,1.0,讲话
247,184.0,1.0,特别
248,183.0,1.0,旅游
249,183.0,1.0,蔬菜
250,182.0,1.0,信贷
251,182.0,1.0,真正
252,182.0,1.0,人均
253,180.0,1.0,各地
254,179.0,1.0,担保
255,178.0,1.0,农村土地
256,178.0,1.0,进入
257,177.0,1.0,积极性
258,177.0,1.0,措施
259,177.0,1.0,实行
260,177.0,1.0,标准
261,176.0,1.0,利用
262,176.0,1.0,建成
263,175.0,1.0,集体
264,175.0,1.0,统一
265,175.0,1.0,精神
266,174.0,1.0,抓
267,174.0,1.0,影响
268,174.0,1.0,一定
269,173.0,1.0,领域
270,173.0,1.0,关键
271,173.0,1.0,超过
272,173.0,1.0,现代
273,172.0,1.0,贫困
274,172.0,1.0,下乡
275,170.0,1.0,协调
276,170.0,1.0,万亩
277,170.0,1.0,继续
278,169.0,1.0,致富
279,169.0,1.0,切实
280,168.0,1.0,成本
281,167.0,1.0,鼓励
282,166.0,1.0,直接
283,165.0,1.0,相关
284,165.0,1.0,根本
285,165.0,1.0,面积
286,165.0,1.0,帮助
287,165.0,1.0,连续
288,165.0,1.0,参与
289,165.0,1.0,品牌
290,164.0,1.0,更加
291,163.0,1.0,种粮
292,163.0,1.0,经验
293,162.0,1.0,程度
294,162.0,1.0,阶段
295,161.0,1.0,制定
296,161.0,1.0,小康社会
297,160.0,1.0,互联网
298,160.0,1.0,减少
299,160.0,1.0,种
300,160.0,1.0,健全
301,159.0,1.0,党组织
302,159.0,1.0,县域
303,158.0,1.0,时代
304,158.0,1.0,认为
305,157.0,1.0,获得
306,157.0,1.0,事业
307,156.0,1.0,玉米
308,156.0,1.0,难
309,156.0,1.0,一号
310,155.0,1.0,出台
311,154.0,1.0,绿色
312,154.0,1.0,惠农
313,154.0,1.0,使用
314,153.0,1.0,难题
315,153.0,1.0,效益
316,152.0,1.0,长期
317,152.0,1.0,精准
318,152.0,1.0,调整
319,151.0,1.0,亩
320,151.0,1.0,达
321,151.0,1.0,优质
322,150.0,1.0,建议
323,149.0,1.0,过程
324,148.0,1.0,要素
325,148.0,1.0,集中
326,148.0,1.0,中心
327,148.0,1.0,了解
328,147.0,1.0,村里
329,147.0,1.0,机构
330,146.0,1.0,销售
331,146.0,1.0,农村基层
332,145.0,1.0,县
333,145.0,1.0,构建
334,145.0,1.0,完成
335,145.0,1.0,变化
336,145.0,1.0,保持
337,145.0,1.0,安排
338,144.0,1.0,覆盖
339,143.0,1.0,业务
340,143.0,1.0,改变
341,143.0,1.0,工业化
342,143.0,1.0,渠道
343,143.0,1.0,差距
344,143.0,1.0,信用社
345,142.0,1.0,各级
346,142.0,1.0,文明
347,142.0,1.0,系统
348,141.0,1.0,结合
349,141.0,1.0,存在
350,141.0,1.0,设施
351,141.0,1.0,工业
352,140.0,1.0,总书记
353,139.0,1.0,电商
354,138.0,1.0,看到
355,137.0,1.0,平台
356,137.0,1.0,改造
357,137.0,1.0,搞
358,137.0,1.0,资本
359,137.0,1.0,成立
360,136.0,1.0,经营权
361,136.0,1.0,支撑
362,136.0,1.0,报告
363,135.0,1.0,出现
364,135.0,1.0,过去
365,135.0,1.0,很多
366,135.0,1.0,用于
367,134.0,1.0,困难
368,134.0,1.0,整治
369,133.0,1.0,核心
370,133.0,1.0,应该
371,132.0,1.0,攻坚
372,131.0,1.0,国务院
373,131.0,1.0,小麦
374,131.0,1.0,现实
375,130.0,1.0,不同
376,130.0,1.0,比较
377,130.0,1.0,功能
378,130.0,1.0,小康
379,129.0,1.0,乡
380,128.0,1.0,一年
381,128.0,1.0,本报
382,128.0,1.0,国际
383,128.0,1.0,突破
384,127.0,1.0,形式
385,127.0,1.0,这种
386,127.0,1.0,流通
387,127.0,1.0,时期
388,127.0,1.0,增产
389,127.0,1.0,融合
390,127.0,1.0,采取
391,125.0,1.0,一体化
392,125.0,1.0,满足
393,125.0,1.0,始终
394,124.0,1.0,成果
395,124.0,1.0,时间
396,123.0,1.0,保证
397,123.0,1.0,方向
398,122.0,1.0,规范
399,122.0,1.0,农村金融
400,122.0,1.0,村庄
401,122.0,1.0,农业银行
402,121.0,1.0,累计
403,121.0,1.0,行动
404,121.0,1.0,村级
405,121.0,1.0,监管
406,121.0,1.0,书记
407,120.0,1.0,进程
408,119.0,1.0,集团
409,119.0,1.0,钱
410,119.0,1.0,围绕
411,118.0,1.0,专家
412,118.0,1.0,范围
413,118.0,1.0,认识
414,118.0,1.0,党中央
415,118.0,1.0,人员
416,117.0,1.0,升级
417,117.0,1.0,发生
418,117.0,1.0,贫困地区
419,116.0,1.0,农场
420,116.0,1.0,收益
421,116.0,1.0,明确
422,116.0,1.0,镇
423,115.0,1.0,最大
424,115.0,1.0,面临
425,115.0,1.0,正在
426,115.0,1.0,动力
427,115.0,1.0,办法
428,114.0,1.0,全市
429,114.0,1.0,粮食安全
430,114.0,1.0,各项
431,114.0,1.0,高效
432,114.0,1.0,力量
433,114.0,1.0,造成
434,114.0,1.0,重视
435,114.0,1.0,调查
436,113.0,1.0,北京
437,113.0,1.0,农资
438,113.0,1.0,内容
439,113.0,1.0,人民
440,113.0,1.0,温家宝
441,113.0,1.0,化肥
442,113.0,1.0,适应
443,112.0,1.0,污染
444,112.0,1.0,打造
445,112.0,1.0,大户
446,112.0,1.0,矛盾
447,111.0,1.0,抓好
448,111.0,1.0,福建
449,111.0,1.0,浙江
450,111.0,1.0,大量
451,110.0,1.0,整合
452,110.0,1.0,有机
453,110.0,1.0,产量
454,110.0,1.0,健康
455,110.0,1.0,不足
456,109.0,1.0,介绍
457,109.0,1.0,收购
458,109.0,1.0,消费
459,109.0,1.0,理论
460,109.0,1.0,学习
461,108.0,1.0,缺乏
462,108.0,1.0,进城
463,108.0,1.0,产业链
464,108.0,1.0,关注
465,108.0,1.0,农业部
466,108.0,1.0,配套
467,108.0,1.0,水稻
468,108.0,1.0,农机
469,107.0,1.0,区域
470,107.0,1.0,优化
471,107.0,1.0,原因
472,107.0,1.0,美丽
473,107.0,1.0,左右
474,107.0,1.0,维护
475,106.0,1.0,知识
476,106.0,1.0,数据
477,105.0,1.0,重中之重
478,105.0,1.0,想
479,104.0,1.0,贫困户
480,104.0,1.0,数量
481,104.0,1.0,下降
482,104.0,1.0,明显
483,104.0,1.0,权益
484,104.0,1.0,用地
485,104.0,1.0,环节
486,103.0,1.0,农药
487,103.0,1.0,示范
488,102.0,1.0,网络
489,102.0,1.0,电影
490,102.0,1.0,委员
491,101.0,1.0,余额
492,101.0,1.0,选择
493,101.0,1.0,发放
494,100.0,1.0,希望
495,99.0,1.0,充分发挥
496,99.0,1.0,网点
497,99.0,1.0,注重
498,98.0,1.0,多元
499,98.0,1.0,体现
500,98.0,1.0,培养
501,98.0,1.0,部署
502,97.0,1.0,地位
503,97.0,1.0,基金
504,97.0,1.0,国内
505,97.0,1.0,生产能力
506,96.0,1.0,活力
507,96.0,1.0,吃
508,96.0,1.0,帮扶
509,96.0,1.0,充分
510,96.0,1.0,形势
511,96.0,1.0,责任
512,96.0,1.0,意见
513,96.0,1.0,法律
514,95.0,1.0,计划
515,95.0,1.0,上海
516,95.0,1.0,卖
517,95.0,1.0,原则
518,95.0,1.0,职业
519,95.0,1.0,部分
520,94.0,1.0,新增
521,94.0,1.0,纯收入
522,94.0,1.0,丰富
523,94.0,1.0,优先
524,94.0,1.0,消费者
525,94.0,1.0,主任
526,93.0,1.0,拓展
527,93.0,1.0,标准化
528,93.0,1.0,高度重视
529,93.0,1.0,合理
530,93.0,1.0,集体经济
531,93.0,1.0,降低
532,93.0,1.0,对接
533,93.0,1.0,依靠
534,92.0,1.0,巩固
535,92.0,1.0,有力
536,92.0,1.0,单位
537,92.0,1.0,意义
538,92.0,1.0,导向
539,92.0,1.0,深刻
540,92.0,1.0,年底
541,91.0,1.0,副
542,91.0,1.0,抵押
543,91.0,1.0,先进
544,91.0,1.0,融资
545,90.0,1.0,青年
546,90.0,1.0,民生
547,90.0,1.0,百分点
548,90.0,1.0,仍然
549,90.0,1.0,全局
550,90.0,1.0,户
551,90.0,1.0,理念
552,90.0,1.0,结构性
553,89.0,1.0,世界
554,89.0,1.0,共同
555,89.0,1.0,及时
556,89.0,1.0,家
557,89.0,1.0,惠农
558,89.0,1.0,全县
559,89.0,1.0,大型
560,88.0,1.0,素质
561,88.0,1.0,发现
562,88.0,1.0,给予
563,87.0,1.0,资产
564,87.0,1.0,生产力
565,87.0,1.0,竞争力
566,87.0,1.0,快速
567,87.0,1.0,包括
568,87.0,1.0,参加
569,87.0,1.0,贫困人口
570,87.0,1.0,做到
571,87.0,1.0,举措
572,86.0,1.0,现象
573,86.0,1.0,相对
574,86.0,1.0,中央财政
575,86.0,1.0,大力发展
576,86.0,1.0,推出
577,86.0,1.0,万人
578,85.0,1.0,表示
579,85.0,1.0,享受
580,85.0,1.0,孩子
581,85.0,1.0,道路
582,85.0,1.0,更好
583,84.0,1.0,城镇
584,84.0,1.0,召开
585,84.0,1.0,社区
586,84.0,1.0,农业产业
587,84.0,1.0,平衡
588,84.0,1.0,期间
589,84.0,1.0,规模化
590,84.0,1.0,河南
591,84.0,1.0,补助
592,84.0,1.0,面对
593,84.0,1.0,山东
594,83.0,1.0,短板
595,83.0,1.0,生态环境
596,83.0,1.0,今后
597,83.0,1.0,依然
598,83.0,1.0,处理
599,83.0,1.0,大棚
600,83.0,1.0,把握
601,82.0,1.0,订单
602,82.0,1.0,空间
603,82.0,1.0,行业
604,82.0,1.0,决策
605,82.0,1.0,反映
606,82.0,1.0,外出
607,82.0,1.0,良好
608,82.0,1.0,未来
609,82.0,1.0,意识
610,82.0,1.0,严重
611,82.0,1.0,扶贫开发
612,82.0,1.0,整体
613,82.0,1.0,严格
614,81.0,1.0,依托
615,81.0,1.0,比例
616,81.0,1.0,有人
617,81.0,1.0,考核
618,81.0,1.0,手段
619,81.0,1.0,良种
620,81.0,1.0,成功
621,80.0,1.0,农田
622,80.0,1.0,农家
623,80.0,1.0,改革开放
624,80.0,1.0,平均
625,80.0,1.0,倾斜
626,79.0,1.0,贯彻落实
627,79.0,1.0,水利
628,79.0,1.0,局面
629,79.0,1.0,启动
630,79.0,1.0,和谐
631,79.0,1.0,侧
632,78.0,1.0,正
633,78.0,1.0,破解
634,78.0,1.0,小额贷款
635,78.0,1.0,搬迁
636,78.0,1.0,率先
637,78.0,1.0,转型
638,78.0,1.0,结构调整
639,78.0,1.0,作出
640,77.0,1.0,信息化
641,77.0,1.0,难以
642,77.0,1.0,分行
643,76.0,1.0,指标
644,76.0,1.0,特点
645,76.0,1.0,报道
646,76.0,1.0,高于
647,76.0,1.0,总量
648,75.0,1.0,激发
649,75.0,1.0,约
650,75.0,1.0,亿斤
651,75.0,1.0,联合
652,75.0,1.0,机械化
653,75.0,1.0,服务体系
654,74.0,1.0,农发行
655,74.0,1.0,考虑
656,74.0,1.0,总体
657,74.0,1.0,非常
658,74.0,1.0,返乡
659,74.0,1.0,同比
660,73.0,1.0,食品
661,73.0,1.0,缩小
662,73.0,1.0,吸引
663,73.0,1.0,休闲
664,73.0,1.0,应当
665,73.0,1.0,自然
666,73.0,1.0,党支部
667,73.0,1.0,制约
668,72.0,1.0,反哺
669,72.0,1.0,物流
670,72.0,1.0,三下乡
671,72.0,1.0,总结
672,72.0,1.0,社会保障
673,72.0,1.0,路
674,72.0,1.0,务工
675,72.0,1.0,市场化
676,72.0,1.0,义务教育
677,72.0,1.0,创造
678,72.0,1.0,思路
679,72.0,1.0,农田水利
680,72.0,1.0,商业银行
681,72.0,1.0,队伍
682,72.0,1.0,山区
683,71.0,1.0,客户
684,71.0,1.0,因素
685,71.0,1.0,种子
686,71.0,1.0,共
687,71.0,1.0,打工
688,71.0,1.0,面向
689,70.0,1.0,来到
690,70.0,1.0,增幅
691,70.0,1.0,政策措施
692,70.0,1.0,老人
693,70.0,1.0,规模经营
694,70.0,1.0,步伐
695,70.0,1.0,决定
